Datetime,code,name,bankuai,optimistic,pessimistic
2025-01-27,SZ.ZB_000856,冀东装备,专用设备,19.659443,-10.998483
2025-01-14,SH.KC_300307,慈星股份,专用设备,17.409163,-5.1168094
2025-01-27,SH.KC_301512,智信精密,专用设备,16.33368,-4.5739226
2025-01-27,SH.KC_300902,国安达,专用设备,16.079428,-0.10647196
2025-01-27,SZ.ZB_002691,冀凯股份,专用设备,15.706162,-8.219153
2025-01-27,SZ.ZB_002529,海源复材,专用设备,14.681135,-0.68988466
2025-01-27,SZ.ZB_002816,和科达,专用设备,13.735162,-3.7926297
2025-01-27,SH.KC_300499,高澜股份,专用设备,12.535445,-2.6284804
2025-01-27,SH.KC_301030,仕净科技,专用设备,11.657972,-0.508691
2025-01-27,SH.ZB_603789,星光农机,专用设备,11.107593,0.7836804
2025-01-27,SH.KC_301018,申菱环境,专用设备,11.0513735,-3.3305104
2025-01-27,SZ.ZB_002184,海得控制,专用设备,10.503851,-2.3418703
2025-01-27,SH.KC_300344,立方数科,软件开发,22.114845,-2.927672
2025-01-27,SH.KC_301248,杰创智能,软件开发,15.563207,-5.8839417
2025-01-27,SZ.ZB_002253,川大智胜,软件开发,14.891003,-0.23303777
2025-01-27,SH.KC_300249,依米康,软件开发,14.636161,-5.36257
2025-01-27,SH.KC_300996,普联软件,软件开发,13.354657,-8.680069
2025-01-27,SZ.ZB_000004,国华网安,软件开发,13.32071,-0.47544837
2025-01-27,SH.KC_300608,思特奇,软件开发,13.139407,-4.9416146
2025-01-27,SH.KC_300333,兆日科技,软件开发,12.782417,-4.1305766
2025-01-27,SZ.ZB_000890,法尔胜,通用设备,14.475222,-3.9261215
2025-01-27,SH.ZB_600243,青海华鼎,通用设备,14.443644,-0.409171
2025-01-27,SZ.ZB_002122,汇洲智能,通用设备,14.272661,-1.729503
2025-01-27,SZ.ZB_000816,智慧农业,通用设备,13.872938,-1.2316859
2025-01-27,SH.ZB_600421,华嵘控股,通用设备,12.714897,-0.7916065
2025-01-27,SH.KC_300853,申昊科技,通用设备,11.580465,-2.073901
2025-01-27,SH.KC_688165,埃夫特-U,通用设备,10.633151,-4.2955694
2025-01-27,SH.ZB_603398,沐邦高科,光伏设备,23.13034,-0.6627988
2025-01-27,SH.KC_300093,金刚光伏,光伏设备,12.169348,-1.1631881
2025-01-27,SH.KC_688408,中信博,光伏设备,11.517419,-1.2360195
2025-01-27,SH.KC_300716,泉为科技,光伏设备,10.627662,-3.7920804
2025-01-27,SH.KC_300634,彩讯股份,互联网服务,18.459879,-7.134408
2025-01-27,SH.KC_688229,博睿数据,互联网服务,13.93369,-4.8686624
2025-01-27,SH.ZB_600228,返利科技,互联网服务,13.472663,-0.85441864
2025-01-27,SH.ZB_600358,国旅联合,互联网服务,11.356051,-1.2437788
2025-01-27,SH.ZB_603777,来伊份,食品饮料,18.036385,-2.8779678
2025-01-27,SZ.ZB_002820,桂发祥,食品饮料,11.506309,-3.5479262
2025-01-27,SZ.ZB_000716,黑芝麻,食品饮料,11.187429,-3.1542752
2025-01-27,SH.ZB_605179,一鸣食品,食品饮料,11.096941,-4.052087
2025-01-27,SZ.ZB_000759,中百集团,商业百货,17.824503,-3.5160766
2025-01-27,SH.ZB_600778,友好集团,商业百货,13.236157,-1.1728991
2025-01-27,SH.ZB_600693,东百集团,商业百货,11.774079,-3.3067148
2025-01-27,SH.ZB_600858,银座股份,商业百货,11.30036,-2.9208138
2025-01-27,SH.KC_300654,世纪天鸿,文化传媒,15.830125,-5.975903
2025-01-27,SH.ZB_600556,天下秀,文化传媒,10.996987,-2.3098886
2025-01-27,SZ.ZB_000793,华闻集团,文化传媒,10.843669,-2.2879333
2025-01-27,SH.KC_688143,长盈通,电子元件,12.387588,-6.5293846
2025-01-27,SZ.ZB_002199,东晶电子,电子元件,12.120851,-0.4147094
2025-01-27,SZ.ZB_002636,金安国纪,电子元件,10.94891,-1.979669
2025-01-27,SH.KC_300652,雷迪克,汽车零部件,12.54101,-4.5799003
2025-01-27,SH.ZB_605018,长华集团,汽车零部件,12.215708,-6.9613338
2025-01-27,SZ.ZB_002265,建设工业,汽车零部件,11.894963,-5.482115
2025-01-27,SH.KC_301356,天振股份,塑料制品,14.528258,-5.29945
2025-01-27,SH.ZB_603928,兴业股份,塑料制品,11.910136,-8.779494
2025-01-27,SH.KC_688716,中研股份,塑料制品,11.34191,-5.0467634
2025-01-27,SZ.ZB_001270,铖昌科技,半导体,15.810798,-0.43593776
2025-01-27,SH.KC_688620,安凯微,半导体,14.260252,-6.591731
2025-01-27,SH.KC_688362,甬矽电子,半导体,11.106963,-1.0556259
