Datetime,code,name,bankuai,optimistic,pessimistic
2025-01-27,SZ.ZB_000856,冀东装备,专用设备,19.538086,-11.312562
2025-01-14,SH.KC_300307,慈星股份,专用设备,17.52552,-5.4610057
2025-01-27,SH.KC_301512,智信精密,专用设备,16.22797,-5.1137815
2025-01-27,SZ.ZB_002691,冀凯股份,专用设备,14.837291,-9.035609
2025-01-27,SH.KC_300902,国安达,专用设备,14.081235,-0.61588717
2025-01-27,SZ.ZB_002529,海源复材,专用设备,13.566134,-1.2951639
2025-01-27,SZ.ZB_002816,和科达,专用设备,13.055606,-4.0059314
2025-01-27,SH.KC_300499,高澜股份,专用设备,11.252429,-3.0256786
2025-01-27,SH.KC_301030,仕净科技,专用设备,10.189392,-1.3257004
2025-01-27,SH.KC_301018,申菱环境,专用设备,9.797117,-3.6769667
2025-01-27,SH.ZB_603789,星光农机,专用设备,9.627684,-0.364466
2025-01-27,SZ.ZB_002122,汇洲智能,通用设备,13.137974,-1.9504311
2025-01-27,SZ.ZB_000890,法尔胜,通用设备,12.923713,-4.214036
2025-01-27,SH.ZB_600243,青海华鼎,通用设备,12.865613,-0.899272
2025-01-27,SZ.ZB_000816,智慧农业,通用设备,11.747326,-1.6924769
2025-01-27,SH.ZB_600421,华嵘控股,通用设备,11.4404125,-1.2998719
2025-01-27,SH.KC_300853,申昊科技,通用设备,10.294467,-2.3339233
2025-01-27,SH.KC_688165,埃夫特-U,通用设备,10.132119,-3.5040922
2025-01-27,SH.KC_300161,华中数控,通用设备,10.068382,-3.9485476
2025-01-27,SH.KC_300607,拓斯达,通用设备,9.576921,-3.1550143
2025-01-27,SH.KC_300344,立方数科,软件开发,19.2847,-4.495725
2025-01-27,SH.KC_301248,杰创智能,软件开发,16.204647,-6.004008
2025-01-27,SH.KC_300996,普联软件,软件开发,14.068328,-8.632602
2025-01-27,SZ.ZB_002253,川大智胜,软件开发,13.123555,-0.95277953
2025-01-27,SH.KC_300249,依米康,软件开发,13.042768,-5.55733
2025-01-27,SH.KC_300608,思特奇,软件开发,12.877096,-5.2209206
2025-01-27,SZ.ZB_000004,国华网安,软件开发,11.52903,-1.0729773
2025-01-27,SH.KC_300333,兆日科技,软件开发,11.491853,-4.378377
2025-01-27,SH.KC_300634,彩讯股份,互联网服务,18.456926,-7.3893113
2025-01-27,SH.KC_688229,博睿数据,互联网服务,12.891359,-5.3039417
2025-01-27,SH.ZB_600228,返利科技,互联网服务,12.237538,-1.3363131
2025-01-27,SH.ZB_600358,国旅联合,互联网服务,9.849687,-1.9248266
2025-01-27,SH.KC_300792,壹网壹创,互联网服务,9.600984,-3.1491644
2025-01-27,SH.KC_300654,世纪天鸿,文化传媒,15.6136465,-6.342679
2025-01-27,SH.ZB_600556,天下秀,文化传媒,10.256598,-2.3412771
2025-01-27,SH.ZB_603729,龙韵股份,文化传媒,10.0917845,-5.228754
2025-01-27,SH.KC_300071,福石控股,文化传媒,9.675137,-4.337099
2025-01-27,SZ.ZB_000793,华闻集团,文化传媒,9.629454,-2.6637635
2025-01-27,SH.ZB_603777,来伊份,食品饮料,17.214602,-3.2874331
2025-01-27,SZ.ZB_002820,桂发祥,食品饮料,10.462167,-3.9149027
2025-01-27,SH.ZB_605179,一鸣食品,食品饮料,9.874863,-3.9415534
2025-01-27,SZ.ZB_000716,黑芝麻,食品饮料,9.714598,-3.677304
2025-01-27,SH.ZB_600539,狮头股份,环保行业,15.950529,-3.536509
2025-01-27,SH.KC_300055,万邦达,环保行业,12.66623,-4.95582
2025-01-27,SZ.ZB_000826,启迪环境,环保行业,9.902339,-2.3807874
2025-01-27,SZ.ZB_002973,侨银股份,环保行业,9.805615,-5.152183
2025-01-27,SH.ZB_603398,沐邦高科,光伏设备,20.255037,-2.146122
2025-01-27,SH.KC_300093,金刚光伏,光伏设备,10.803339,-1.9213265
2025-01-27,SH.KC_688408,中信博,光伏设备,10.127771,-1.9265864
2025-01-27,SZ.ZB_000759,中百集团,商业百货,15.007149,-3.0396447
2025-01-27,SH.ZB_600778,友好集团,商业百货,11.120756,-1.9262049
2025-01-27,SH.ZB_600858,银座股份,商业百货,9.769104,-3.5126112
2025-01-27,SH.KC_301356,天振股份,塑料制品,14.023431,-5.6803904
2025-01-27,SH.ZB_603928,兴业股份,塑料制品,12.039612,-9.078865
2025-01-27,SH.KC_688716,中研股份,塑料制品,10.323384,-4.9009647
2025-01-27,SZ.ZB_001270,铖昌科技,半导体,14.370258,-1.0958964
2025-01-27,SH.KC_688620,安凯微,半导体,14.14574,-6.716678
2025-01-27,SH.KC_688362,甬矽电子,半导体,9.765875,-1.5295157
2025-01-27,SH.KC_300857,协创数据,消费电子,15.73071,-5.2314997
2025-01-27,SH.ZB_600130,波导股份,消费电子,12.991519,0.0030452386
2025-01-27,SH.KC_301318,维海德,消费电子,9.888667,-4.7478385
2025-01-27,SH.KC_300652,雷迪克,汽车零部件,12.198745,-4.7219963
2025-01-27,SH.ZB_605018,长华集团,汽车零部件,12.048,-7.0055614
2025-01-27,SZ.ZB_002265,建设工业,汽车零部件,10.661326,-4.9257803
2025-01-27,SZ.ZB_000016,深康佳Ａ,家电行业,13.843177,-1.6903695
2025-01-27,SZ.ZB_002418,康盛股份,家电行业,12.689255,-2.4106557
2025-01-27,SZ.ZB_002848,高斯贝尔,家电行业,11.831482,-0.32345933
2025-01-27,SH.KC_301286,侨源股份,化学原料,11.608301,-3.9827878
2025-01-27,SH.ZB_600714,金瑞矿业,化学原料,9.628874,-2.3505635
2025-01-27,SH.KC_301511,德福科技,电池,10.966211,-3.9917185
2025-01-27,SZ.ZB_002733,雄韬股份,电池,9.562495,-4.026173
2025-01-27,SH.ZB_600052,东望时代,公用事业,10.648903,-4.238806
2025-01-27,SH.ZB_600187,国中水务,公用事业,9.819272,-2.188776
2025-01-27,SH.KC_688143,长盈通,电子元件,12.332906,-6.687135
2025-01-27,SZ.ZB_002199,东晶电子,电子元件,10.819115,-0.8603338
2025-01-27,SH.ZB_600128,苏豪弘业,贸易行业,14.202719,-2.0895932
2025-01-27,SH.KC_300493,润欣科技,贸易行业,9.820739,-4.792164
2025-01-27,SH.ZB_603261,立航科技,航天航空,15.293224,-2.2685177
2025-01-27,SH.KC_300159,新研股份,航天航空,13.503305,-0.8292526
2025-01-27,SZ.ZB_000668,荣丰控股,房地产开发,18.208532,-4.0587287
2025-01-27,SZ.ZB_000736,中交地产,房地产开发,11.437734,-1.2488054
2025-01-27,SZ.ZB_002496,辉丰股份,农药兽药,16.503544,-0.47265515
2025-01-27,SH.ZB_605033,美邦股份,农药兽药,11.744489,-2.8153887
