Datetime,code,name,bankuai,optimistic,pessimistic
2025-01-27,SZ.ZB_000856,冀东装备,专用设备,19.76466,-11.64722
2025-01-14,SH.KC_300307,慈星股份,专用设备,17.455389,-5.833182
2025-01-27,SH.KC_301512,智信精密,专用设备,16.215883,-5.3264866
2025-01-27,SZ.ZB_002691,冀凯股份,专用设备,14.318021,-9.113242
2025-01-27,SZ.ZB_002529,海源复材,专用设备,12.742196,-1.4596853
2025-01-27,SH.KC_300902,国安达,专用设备,12.578164,-1.0412538
2025-01-27,SZ.ZB_002816,和科达,专用设备,12.414514,-4.1114116
2025-01-27,SZ.ZB_002757,南兴股份,专用设备,9.215866,-4.741583
2025-01-27,SH.KC_300499,高澜股份,专用设备,9.189181,-3.9003007
2025-01-27,SH.KC_301030,仕净科技,专用设备,8.707671,-1.3978534
2025-01-27,SH.KC_300344,立方数科,软件开发,16.933455,-4.2150984
2025-01-27,SH.KC_301248,杰创智能,软件开发,15.576838,-6.3596716
2025-01-27,SH.KC_300996,普联软件,软件开发,14.063578,-8.980123
2025-01-27,SH.KC_300608,思特奇,软件开发,12.817205,-5.471065
2025-01-27,SZ.ZB_002253,川大智胜,软件开发,11.89246,-1.0642412
2025-01-27,SH.KC_300249,依米康,软件开发,10.853119,-6.3356066
2025-01-27,SZ.ZB_000004,国华网安,软件开发,10.766612,-1.1264583
2025-01-27,SH.KC_300333,兆日科技,软件开发,10.014452,-4.655572
2025-01-27,SH.KC_300378,鼎捷数智,软件开发,9.248779,-5.9180856
2025-01-27,SZ.ZB_000890,法尔胜,通用设备,12.322031,-4.2800097
2025-01-27,SH.ZB_600243,青海华鼎,通用设备,12.09739,-0.91882163
2025-01-27,SZ.ZB_002122,汇洲智能,通用设备,11.560838,-2.5922139
2025-01-27,SZ.ZB_000816,智慧农业,通用设备,10.856171,-2.2033134
2025-01-27,SH.ZB_600421,华嵘控股,通用设备,10.747446,-1.4182683
2025-01-27,SH.KC_300161,华中数控,通用设备,9.82127,-4.1500764
2025-01-27,SH.KC_300853,申昊科技,通用设备,8.984463,-2.7789264
2025-01-27,SZ.ZB_002760,凤形股份,通用设备,8.933659,-3.5474546
2025-01-27,SH.KC_688165,埃夫特-U,通用设备,8.904745,-3.689217
2025-01-27,SH.KC_300634,彩讯股份,互联网服务,18.641241,-7.54952
2025-01-27,SH.KC_688229,博睿数据,互联网服务,12.01454,-5.457634
2025-01-27,SH.ZB_600228,返利科技,互联网服务,11.314673,-1.60232
2025-01-27,SZ.ZB_002530,金财互联,互联网服务,9.30814,-5.7813025
2025-01-27,SH.KC_300170,汉得信息,互联网服务,8.731987,-10.060523
2025-01-27,SH.ZB_600358,国旅联合,互联网服务,8.681486,-2.1058369
2025-01-27,SH.KC_300654,世纪天鸿,文化传媒,15.579252,-6.6622367
2025-01-27,SH.ZB_603729,龙韵股份,文化传媒,10.099448,-5.6199617
2025-01-27,SH.KC_300071,福石控股,文化传媒,9.144174,-4.78529
2025-01-27,SH.ZB_600556,天下秀,文化传媒,9.092484,-2.8328152
2025-01-27,SZ.ZB_000793,华闻集团,文化传媒,8.945023,-2.6850858
2025-01-27,SH.ZB_603598,引力传媒,文化传媒,8.921893,-6.977453
2025-01-27,SH.ZB_600539,狮头股份,环保行业,14.992793,-3.8599484
2025-01-27,SH.KC_300055,万邦达,环保行业,12.039926,-5.2386365
2025-01-27,SZ.ZB_002973,侨银股份,环保行业,9.485947,-5.7962866
2025-01-27,SZ.ZB_000826,启迪环境,环保行业,9.345229,-2.6727843
2025-01-27,SH.ZB_605069,正和生态,环保行业,8.816387,-3.8698583
2025-01-27,SH.KC_300652,雷迪克,汽车零部件,12.1687155,-5.113473
2025-01-27,SH.ZB_605018,长华集团,汽车零部件,11.657627,-7.4250846
2025-01-27,SZ.ZB_002265,建设工业,汽车零部件,8.960695,-6.270843
2025-01-27,SZ.ZB_001282,三联锻造,汽车零部件,8.766561,-6.4128675
2025-01-27,SH.KC_300857,协创数据,消费电子,14.082046,-5.7215757
2025-01-27,SH.ZB_600130,波导股份,消费电子,11.991925,0.106442906
2025-01-27,SH.KC_301318,维海德,消费电子,9.730075,-5.0122395
2025-01-27,SZ.ZB_002861,瀛通通讯,消费电子,9.096716,-7.5483074
2025-01-27,SH.ZB_603398,沐邦高科,光伏设备,18.53448,-1.9343343
2025-01-27,SH.KC_300093,金刚光伏,光伏设备,9.463792,-1.9725431
2025-01-27,SH.KC_688408,中信博,光伏设备,9.031434,-2.1346636
2025-01-27,SH.KC_300716,泉为科技,光伏设备,8.936338,-4.2250347
2025-01-27,SH.ZB_603777,来伊份,食品饮料,14.414544,-3.5282574
2025-01-27,SZ.ZB_002820,桂发祥,食品饮料,9.179764,-3.7040076
2025-01-27,SZ.ZB_000716,黑芝麻,食品饮料,8.892085,-3.65427
2025-01-27,SH.KC_688620,安凯微,半导体,13.625993,-7.35092
2025-01-27,SZ.ZB_001270,铖昌科技,半导体,13.544829,-0.9885425
2025-01-27,SH.ZB_603068,博通集成,半导体,9.796076,-5.918551
2025-01-27,SZ.ZB_000759,中百集团,商业百货,13.592045,-4.242765
2025-01-27,SH.ZB_600778,友好集团,商业百货,9.489123,-2.4667003
2025-01-27,SZ.ZB_000419,通程控股,商业百货,9.04109,-3.8420968
2025-01-27,SH.KC_301356,天振股份,塑料制品,13.524966,-6.1282
2025-01-27,SH.ZB_603928,兴业股份,塑料制品,10.869922,-9.475731
2025-01-27,SH.KC_688716,中研股份,塑料制品,8.901591,-5.722602
2025-01-27,SZ.ZB_000016,深康佳Ａ,家电行业,12.146668,-1.7865766
