,Datetime,code,name,price,RF,Turnover,RF_5,RF_10,RF_15,RF_20,Turnover_5,Turnover_10,price_5,price_10,expext
3728,2025-01-24,603687,大胜达,8.08,0.0155,707807429.0,1.108084799790237,1.1198766548223902,1.112443479545803,1.1048807684910997,4.139454168108803,7.332455434157406,0.06163366336633677,0.06163366336633677,0.12914242
4453,2025-01-24,600693,东百集团,73.68,-0.0508,679306586.0,0.9763396768660904,0.9736415636587626,0.8513332898061534,1.3527122569460293,0.6509192008431853,0.671121199248069,-0.0981813246471228,-0.0981813246471228,0.12409964
498,2025-01-24,600130,波导股份,14.43,-0.0429,234330961.0,0.6937945381729911,0.6956914197240249,0.7024920175785015,0.711252270362959,0.9754479090611572,1.4660990981311461,-0.09923769923769926,-0.09923769923769926,0.12000148
4412,2025-01-24,759,中百集团,68.12,0.0097,1043453355.87,0.8636518916613234,0.9306586825642962,0.6745029061261343,0.9392247995722955,0.6901440043533411,0.5992432674318249,-0.09318849089841433,-0.09318849089841433,0.11955044
129,2025-01-24,600358,国旅联合,9.46,-0.0659,188289154.0,0.7042033604524971,0.960385536410104,0.9344093369745007,0.9958142017711262,0.4250807716808457,0.6834845728007078,-0.11395348837209295,-0.11395348837209295,0.11937505
1285,2025-01-24,1270,铖昌科技,48.56,-0.054900000000000004,323723982.52,0.7255194997752202,0.7121453076865542,0.688366688013555,0.6904318693670037,1.665875165209987,2.2918610730274294,-0.07174629324546941,-0.07174629324546941,0.11816724
132,2025-01-24,600446,金证股份,172.89,-0.1168,1044624873.0,0.7978141709955603,0.8593990586705395,0.7329804668784603,0.8394650147660062,1.3657699213009578,1.4873446899749505,-0.11747353808780152,-0.11747353808780152,0.11134198
4380,2025-01-24,2496,辉丰股份,13.72,-0.1406,25086510.0,0.7008792959315863,0.7187053288081964,0.688719525648664,0.6503367205917351,0.5613158974095713,0.5075855226812646,-0.26793002915451897,-0.26793002915451897,0.10882346
3767,2025-01-24,600714,金瑞矿业,21.21,0.0109,180137054.0,0.7565984812741594,0.9973455703196444,1.0458181248212557,1.2256645455660138,0.5215411980320348,0.5327546083956302,-0.06600660066006593,-0.06600660066006593,0.10818924
1976,2025-01-24,301030,仕净科技,27.0,-0.10279999999999999,317199976.07,0.8122690446536014,0.8069379430688511,0.760554695086283,0.7374433988667104,1.655799035486856,2.2457843999014626,-0.12081481481481483,-0.12081481481481483,0.104737476
306,2025-01-24,2253,川大智胜,42.12,-0.1209,450936476.21,0.6668769378611762,0.7313917520150114,0.7683031824054002,0.793038927015097,1.5195918028658622,1.3198209000085552,-0.16087369420702763,-0.16087369420702763,0.10403398
3310,2025-01-24,600539,狮头股份,7.21,0.04569999999999999,203208787.0,0.7435227710916559,1.0321700535353038,1.0720553279018912,1.07343313745772,0.8407487309285329,1.291920947240745,-0.051040221914008366,-0.051040221914008366,0.103660986
786,2025-01-24,603398,沐邦高科,48.6,-0.1175,122125133.0,0.7407186209344954,0.7187977815110412,0.7409840363002758,0.7275462332015945,0.4497150079282101,0.5567941925009685,-0.19942386831275705,-0.19942386831275705,0.10313992
2135,2025-01-24,2361,神剑股份,47.27,-0.0165,331230185.0,0.9189571579360787,0.8630769509820241,0.8054451605279119,1.1756227768661192,0.6142744668680374,0.44776203198464504,-0.020985826105352174,-0.020985826105352174,0.103046685
3751,2025-01-24,601515,东峰集团,16.1,-0.0621,342092527.0,0.8808893436670199,0.8617553097842268,0.8326428720326485,0.8891790784731791,1.4406158119703316,2.0972215101482305,-0.09465838509316775,-0.09465838509316775,0.10257247
1963,2025-01-24,300902,国安达,25.72,-0.023200000000000002,117564325.6,0.7355605818349188,0.7457058041374287,0.7603746037356359,0.7520983525003699,0.4930488451534304,0.7025082974112514,-0.10730948678071532,-0.10730948678071532,0.10243082
303,2025-01-24,300561,汇金科技,321.73,-0.08689999999999999,2068747567.72,0.919357399447623,0.8566615992844401,0.8529659838253437,1.2172021948162848,0.8282394076729693,0.7229045199901593,-0.044316663040437576,-0.044316663040437576,0.10206199
2893,2025-01-24,533,顺钠股份,13.9,-0.0641,1087611212.01,1.12195867691294,0.9069798130305827,0.8588714067436976,1.4277153497860833,1.0655790955648246,1.2382837274950875,0.01582733812949632,0.01582733812949632,0.101653785
1320,2025-01-24,600243,青海华鼎,4.82,0.010499999999999999,108382648.0,0.7611753363223581,0.7595551656993836,0.7580522330606939,0.7655690314388583,0.8900685298246974,1.2459218295094956,-0.04356846473029026,-0.04356846473029026,0.1015978
580,2025-01-24,600636,国新文化,90.03,-0.0233,221388995.0,0.8672447824934381,0.8581552747655287,0.8344742330458227,0.8259470951534663,1.7418626278361964,2.536595462382147,-0.08905920248805954,-0.08905920248805954,0.10083285
4303,2025-01-24,600238,海南椰岛,15.95,-0.0014000000000000002,148138150.0,0.8130122509808696,0.8132108622206647,0.7871096424888359,0.8442578277010188,0.8722696321205462,1.1861151115439255,-0.061316614420062795,-0.061316614420062795,0.100315094
3371,2025-01-24,603177,德创环保,7.59,-0.0013,78870155.0,0.7118310785802353,1.0178879629861806,1.0353516127396816,1.036349092809356,0.5230638374821156,0.5785516842149256,-0.09117259552042163,-0.09117259552042163,0.09977943
4965,2025-01-24,736,中交地产,30.34,-0.0986,514565257.5,0.8703215267511717,0.8616106796248999,0.8512044676579342,0.8482863949578858,1.1147999940373057,1.7420622881179502,-0.1389584706657879,-0.1389584706657879,0.09842236
1975,2025-01-24,2184,海得控制,43.08,-0.0553,778605876.69,0.8993503962225576,0.6795084874426154,0.8721504299978851,1.2392411543632142,0.8177194282000236,0.756138521563914,-0.08755803156917359,-0.08755803156917359,0.0974946
668,2025-01-24,300615,欣天科技,30.81,-0.004300000000000002,134696960.54,0.9491645745404305,0.8570579879059181,0.7047686799613341,1.0192598033012794,0.7670279358114956,0.5885655716079221,-0.005258033106134456,-0.005258033106134456,0.0965918
1066,2025-01-24,300323,华灿光电,25.55,0.0030000000000000005,487422000.3,0.9510604976969582,0.8463620861116371,0.6963935286925944,0.9771759994397576,0.72732166445135,0.6164275184192394,-0.03561643835616439,-0.03561643835616439,0.09657696
2268,2025-01-24,2636,金安国纪,23.24,-0.073,576090510.46,0.8289735457993079,1.1163372736113155,1.0800274227242022,1.0526286298305356,0.6868179393397379,1.0308540100089352,-0.17160068846815835,-0.17160068846815835,0.0959529
2514,2025-01-24,2306,中科云网,9.39,-0.0467,193011609.24,0.7964449089550665,0.789044735613966,0.7203848412900435,0.7557253995763448,1.3966698628129282,1.3889318891149351,-0.12268370607028745,-0.12268370607028745,0.09580544
4656,2025-01-24,600530,交大昂立,20.3,-0.022799999999999997,93367175.0,0.9511317976182085,0.9198161149102948,0.7924166020697974,1.1245942181547268,0.6607103623908768,0.4168171619916875,-0.01990147783251231,-0.01990147783251231,0.095301375
1335,2025-01-24,2552,宝鼎科技,49.42,0.0054,284386256.3,0.8969947203095867,0.9656066738718828,0.9900569605312511,1.2598601047100257,0.5086615025492315,0.48452087759900925,-0.033265884257385636,-0.033265884257385636,0.09488972
4441,2025-01-24,600778,友好集团,21.78,-0.0151,218558131.0,0.8607786597053942,0.9010313167544214,0.8478753860699247,0.9779356333301981,0.5421589089001121,0.4962099438053303,-0.11928374655647378,-0.11928374655647378,0.094645396
2469,2025-01-24,603511,爱慕股份,15.33,-0.030899999999999997,171715139.0,0.8138895244562381,1.0767080770320854,1.0510776641270394,1.0299432608523753,0.654268659450252,0.9153677628261429,-0.13803000652315706,-0.13803000652315706,0.093587376
3776,2025-01-24,600423,柳化股份,8.35,0.0040999999999999995,136466757.0,0.7648649231367595,1.0464883611662648,1.0582615688219619,1.098421602884771,0.3863525404030615,0.36510049414279644,-0.06898203592814356,-0.06898203592814356,0.092375025
3892,2025-01-24,300159,新研股份,38.41,-0.026300000000000004,194765179.0,0.7846406877370156,0.7988520998220756,0.7974809037501019,0.7670132467553678,0.6886471214670123,0.901440273490558,-0.09075761520437398,-0.09075761520437398,0.09185711
1124,2025-01-24,2449,国星光电,32.81,-0.025300000000000003,1047203179.07,0.9532815841714991,0.8181451297048562,0.7446227010815006,0.9947026317578033,0.6431550339612597,0.6293512976038727,-0.04571776897287412,-0.04571776897287412,0.09178218
4378,2025-01-24,605033,美邦股份,20.36,-0.057800000000000004,267576909.0,0.8075155058299365,0.8322153973423219,1.313622593572389,1.626513252962228,0.7091067334518901,0.837987067535486,-0.07406679764243629,-0.07406679764243629,0.09175849
4252,2025-01-24,2693,双成药业,45.8,-0.0215,239888903.0,0.8400045813086441,0.8502189150089062,0.7368573436173773,0.7965527749175124,0.6555301834389804,0.6758830583557076,-0.045327510917030585,-0.045327510917030585,0.09135941
127,2025-01-24,600228,返利科技,7.41,-0.0597,158203809.0,0.7214978496068983,0.7410474224249093,0.7252004087380317,0.6467693640836394,0.9503581864826102,1.0017690765290508,-0.08097165991902854,-0.08097165991902854,0.091081366
2617,2025-01-24,2767,先锋电子,21.72,-0.0959,301067403.33,0.8884858788252818,1.0644212318432928,1.0610725181104517,1.0397170168748187,0.9610707384494064,1.4736528457854372,-0.1755985267034991,-0.1755985267034991,0.09091037
3519,2025-01-24,2848,高斯贝尔,5.7,-0.10439999999999999,25618572.0,0.7769859787038884,0.7817088623442744,0.7689404228607923,0.7173397920002125,0.48704463045719815,0.4848194512877345,-0.1807017543859651,-0.1807017543859651,0.09022422
1638,2025-01-24,2578,闽发铝业,16.3,0.0287,238319377.39,0.8494166085859847,1.0000444109678994,0.9986108991545628,1.0191894040336773,0.7399195249385848,1.1925369615232468,-0.013496932515337352,-0.013496932515337352,0.089844316
1464,2025-01-24,816,智慧农业,17.71,-0.0483,232340803.96,0.7769728404384061,0.8316788346264089,0.8453135298539405,0.8450895260623998,0.8708319085697368,0.889398730468598,-0.1073969508752118,-0.1073969508752118,0.089736745
3510,2025-01-24,603215,比依股份,17.77,-0.0171,217219884.0,1.0113309892531757,0.9822478236334101,0.776931077887852,1.058307599552488,0.9127229372974991,0.8301862875619305,-0.014969048958919429,-0.014969048958919429,0.089732826
915,2025-01-24,3033,征和工业,34.1,-0.0008000000000000007,304853163.39,1.1538060819720755,1.1424841973582618,1.1187138012128455,1.1388573317523645,3.1015092166867277,5.178355160080454,0.0764809384164223,0.0764809384164223,0.08892225
1368,2025-01-24,603617,君禾股份,24.24,-0.001200000000000001,444022947.0,1.0567706264039958,1.0438745024026377,0.8320765938629214,1.1271100705384398,0.871693046465753,0.981825001072638,0.016089108910890968,0.016089108910890968,0.08889617
959,2025-01-24,2190,成飞集成,45.06,-0.0097,135629375.0,0.8781291132382402,0.8387431511506194,0.8283250025678321,1.0227544851475778,0.5473497958048672,0.43945205923878033,-0.02743009320905453,-0.02743009320905453,0.08874888
2448,2025-01-24,605080,浙江自然,42.54,-0.0089,92692931.0,0.9840112768781675,1.1007118301457266,1.0937790711071709,1.4440887388845414,0.7257734943056864,0.643094975810951,-0.015937940761636044,-0.015937940761636044,0.08868431
3417,2025-01-24,300190,维尔利,38.45,-0.0732,90411968.12,0.9290320630076909,0.9066840643839413,0.9070271256526986,0.9116234521461812,2.561558775377355,3.3665949000269815,-0.06252275682704801,-0.06252275682704801,0.08853457
2949,2025-01-24,2789,建艺集团,11.79,-0.011000000000000001,70970665.0,0.8173990338439759,0.7698113777068671,0.7614121153521479,0.7418118741042352,0.8726463709094362,1.0257267483230632,-0.12094995759117899,-0.12094995759117899,0.08823533
298,2025-01-24,4,国华网安,37.68,-0.0475,90632445.42,0.7434618854245373,0.7406512696626885,0.7312728381834946,0.6700906207686248,0.6734551281791711,0.729651774272765,-0.057802547770700756,-0.057802547770700756,0.08819491
3894,2025-01-24,603261,立航科技,21.3,-0.10210000000000001,36965952.0,0.8192043666592911,0.8138454289945732,0.8119389741721031,0.8279913067131397,1.2979591270925264,1.2730513125545944,-0.1694835680751175,-0.1694835680751175,0.088062
4886,2025-01-24,300391,长药控股,15.38,-0.1407,207129796.67,0.8549066165431903,0.8850481600455761,0.8968771713336189,0.8097352851248729,1.5057592674672662,2.0371133916297812,-0.15474642392717797,-0.15474642392717797,0.08695236
3211,2025-01-24,691,亚太实业,7.72,0.003300000000000001,46618052.0,0.7662427095482345,0.8379257864844372,0.8101071533707379,0.7585144289069352,0.616574354068899,0.7149240159786469,-0.03937823834196883,-0.03937823834196883,0.08687589
776,2025-01-24,688408,中信博,92.09,-0.0179,380737502.0,0.880348291602234,0.8727867747158277,0.8924138122864492,0.930864629708585,0.7285404951357332,1.0833604265796344,-0.07084373981974142,-0.07084373981974142,0.086518615
1240,2025-01-24,688052,纳芯微,195.23,-0.010100000000000003,181910297.0,0.9321219062677498,1.0957156558644787,1.0033711862456092,1.1743986935092108,0.4523599775962242,0.5150203711925223,-0.004825078112995112,-0.004825078112995112,0.08642991
401,2025-01-24,802,北京文化,24.6,-0.0463,177236198.75,0.9085712573290546,0.8474632092637764,0.8213481355915743,0.9248188102847612,0.9921842424599792,1.188862846905991,-0.0610569105691055,-0.0610569105691055,0.08639529
3349,2025-01-24,603200,上海洗霸,60.56,0.0028999999999999994,175283194.0,0.9768557916499769,1.0389863492131064,0.9589371257569355,1.1777881174466367,0.7081179053745663,0.7844082785514,-0.016149273447820252,-0.016149273447820252,0.0851644
