,Datetime,code,name,bankuai,optimistic,pessimistic
0,2025-01-27,SZ.ZB_000856,冀东装备,专用设备,19.76466,-11.64722
1,2025-01-27,SH.KC_300634,彩讯股份,互联网服务,18.641241,-7.54952
2,2025-01-27,SH.ZB_603398,沐邦高科,光伏设备,18.53448,-1.9343343
3,2025-01-14,SH.KC_300307,慈星股份,专用设备,17.455389,-5.833182
4,2025-01-27,SZ.ZB_000668,荣丰控股,房地产开发,17.349775,-3.9846756
5,2025-01-27,SH.KC_300344,立方数科,软件开发,16.933455,-4.2150984
6,2025-01-27,SH.KC_301512,智信精密,专用设备,16.215883,-5.3264866
7,2025-01-27,SH.KC_300654,世纪天鸿,文化传媒,15.579252,-6.6622367
8,2025-01-27,SH.KC_301248,杰创智能,软件开发,15.576838,-6.3596716
9,2025-01-27,SZ.ZB_002496,辉丰股份,农药兽药,15.257542,-0.40005985
10,2025-01-27,SH.ZB_600539,狮头股份,环保行业,14.992793,-3.8599484
11,2025-01-27,SH.ZB_603777,来伊份,食品饮料,14.414544,-3.5282574
12,2025-01-27,SZ.ZB_002691,冀凯股份,专用设备,14.318021,-9.113242
13,2025-01-27,SH.ZB_600892,大晟文化,游戏,14.316721,-3.395208
14,2025-01-27,SH.ZB_603261,立航科技,航天航空,14.204447,-2.3435097
15,2025-01-27,SH.KC_300857,协创数据,消费电子,14.082046,-5.7215757
16,2025-01-27,SH.KC_300996,普联软件,软件开发,14.063578,-8.980123
17,2025-01-27,SH.KC_688620,安凯微,半导体,13.625993,-7.35092
18,2025-01-27,SZ.ZB_000759,中百集团,商业百货,13.592045,-4.242765
19,2025-01-27,SZ.ZB_001270,铖昌科技,半导体,13.544829,-0.9885425
20,2025-01-27,SH.KC_301356,天振股份,塑料制品,13.524966,-6.1282
21,2025-01-27,SZ.ZB_000691,亚太实业,化学制品,13.375049,-1.6468374
22,2025-01-27,SH.ZB_600128,苏豪弘业,贸易行业,13.061293,-2.2687013
23,2025-01-27,SH.ZB_600076,康欣新材,装修建材,12.818168,-3.9843965
24,2025-01-27,SH.KC_300608,思特奇,软件开发,12.817205,-5.471065
25,2025-01-27,SZ.ZB_002529,海源复材,专用设备,12.742196,-1.4596853
26,2025-01-27,SH.KC_300159,新研股份,航天航空,12.596281,-0.7575892
27,2025-01-27,SH.KC_300902,国安达,专用设备,12.578164,-1.0412538
28,2025-01-27,SZ.ZB_002816,和科达,专用设备,12.414514,-4.1114116
29,2025-01-27,SZ.ZB_000890,法尔胜,通用设备,12.322031,-4.2800097
30,2025-01-27,SH.KC_300652,雷迪克,汽车零部件,12.1687155,-5.113473
31,2025-01-27,SZ.ZB_000016,深康佳Ａ,家电行业,12.146668,-1.7865766
32,2025-01-27,SH.ZB_600243,青海华鼎,通用设备,12.09739,-0.91882163
33,2025-01-27,SH.KC_300055,万邦达,环保行业,12.039926,-5.2386365
34,2025-01-27,SH.KC_688229,博睿数据,互联网服务,12.01454,-5.457634
35,2025-01-27,SH.ZB_600130,波导股份,消费电子,11.991925,0.106442906
36,2025-01-27,SZ.ZB_002253,川大智胜,软件开发,11.89246,-1.0642412
37,2025-01-27,SH.ZB_605018,长华集团,汽车零部件,11.657627,-7.4250846
38,2025-01-27,SH.KC_688143,长盈通,电子元件,11.568644,-7.1816354
39,2025-01-27,SZ.ZB_002122,汇洲智能,通用设备,11.560838,-2.5922139
40,2025-01-27,SZ.ZB_002418,康盛股份,家电行业,11.369254,-2.6140223
41,2025-01-27,SZ.ZB_002789,建艺集团,装修装饰,11.367045,-0.6594367
42,2025-01-27,SH.ZB_600228,返利科技,互联网服务,11.314673,-1.60232
43,2025-01-27,SZ.ZB_002667,威领股份,能源金属,11.214356,-3.2688246
44,2025-01-27,SH.KC_300840,酷特智能,纺织服装,11.211799,-7.9794326
45,2025-01-27,SH.KC_688426,康为世纪,生物制品,11.077909,-3.4947681
46,2025-01-27,SH.ZB_603928,兴业股份,塑料制品,10.869922,-9.475731
47,2025-01-27,SH.KC_300222,科大智能,电网设备,10.863309,-6.0951414
48,2025-01-27,SH.ZB_600734,实达集团,通信设备,10.860513,-4.419561
49,2025-01-27,SZ.ZB_000816,智慧农业,通用设备,10.856171,-2.2033134
50,2025-01-27,SH.KC_300249,依米康,软件开发,10.853119,-6.3356066
51,2025-01-27,SZ.ZB_002848,高斯贝尔,家电行业,10.785209,-0.31363684
52,2025-01-27,SZ.ZB_000004,国华网安,软件开发,10.766612,-1.1264583
53,2025-01-27,SH.ZB_600421,华嵘控股,通用设备,10.747446,-1.4182683
54,2025-01-27,SH.ZB_600052,东望时代,公用事业,10.575564,-4.4624805
55,2025-01-27,SZ.ZB_002306,中科云网,旅游酒店,10.457738,-0.35321918
56,2025-01-27,SH.ZB_600238,海南椰岛,酿酒行业,10.4530945,-0.43750983
57,2025-01-27,SH.KC_301286,侨源股份,化学原料,10.398738,-4.229833
58,2025-01-27,SZ.ZB_002199,东晶电子,电子元件,10.184066,-0.961457
59,2025-01-27,SH.ZB_603682,锦和商管,房地产服务,10.148766,-2.5615852
60,2025-01-27,SH.ZB_603729,龙韵股份,文化传媒,10.099448,-5.6199617
61,2025-01-27,SH.KC_301511,德福科技,电池,10.015638,-4.167272
62,2025-01-27,SH.KC_300333,兆日科技,软件开发,10.014452,-4.655572
63,2025-01-27,SH.ZB_605033,美邦股份,农药兽药,9.923522,-3.2097378
64,2025-01-27,SH.KC_300161,华中数控,通用设备,9.82127,-4.1500764
65,2025-01-27,SH.ZB_603068,博通集成,半导体,9.796076,-5.918551
66,2025-01-27,SH.KC_301318,维海德,消费电子,9.730075,-5.0122395
67,2025-01-27,SH.ZB_600191,华资实业,农牧饲渔,9.686931,-7.505128
68,2025-01-27,SZ.ZB_000736,中交地产,房地产开发,9.536134,-1.223968
69,2025-01-27,SH.ZB_600778,友好集团,商业百货,9.489123,-2.4667003
70,2025-01-27,SZ.ZB_002973,侨银股份,环保行业,9.485947,-5.7962866
71,2025-01-27,SH.KC_300093,金刚光伏,光伏设备,9.463792,-1.9725431
72,2025-01-27,SZ.ZB_000826,启迪环境,环保行业,9.345229,-2.6727843
73,2025-01-27,SZ.ZB_002530,金财互联,互联网服务,9.30814,-5.7813025
74,2025-01-27,SH.KC_300378,鼎捷数智,软件开发,9.248779,-5.9180856
75,2025-01-27,SZ.ZB_002757,南兴股份,专用设备,9.215866,-4.741583
76,2025-01-27,SH.KC_300499,高澜股份,专用设备,9.189181,-3.9003007
77,2025-01-27,SZ.ZB_002820,桂发祥,食品饮料,9.179764,-3.7040076
78,2025-01-27,SH.KC_300071,福石控股,文化传媒,9.144174,-4.78529
79,2025-01-27,SZ.ZB_002861,瀛通通讯,消费电子,9.096716,-7.5483074
