,index,Datetime,code,name,bankuai,expext
3236,1811,2025-01-27,300759,康龙化成,医疗服务,2.3878589
3237,1754,2025-01-27,603601,再升科技,玻璃玻纤,2.3873866
3238,3700,2025-01-27,603855,华荣股份,专用设备,2.387117
3239,4749,2025-01-27,2913,奥士康,电子元件,2.387078
3240,149,2025-01-27,600569,安阳钢铁,钢铁行业,2.3858337
3241,2069,2025-01-27,600029,南方航空,航空机场,2.3854642
3242,1749,2025-01-27,603900,莱绅通灵,珠宝首饰,2.385035
3243,3313,2025-01-27,603218,日月股份,风电设备,2.3850217
3244,1043,2025-01-27,2494,华斯股份,纺织服装,2.384995
3245,2765,2025-01-27,301508,中机认检,专业服务,2.3846552
3246,4431,2025-01-27,603260,合盛硅业,非金属材料,2.3842738
3247,2676,2025-01-27,2032,苏 泊 尔,家电行业,2.3834124
3248,3908,2025-01-27,300303,聚飞光电,光学光电子,2.3830354
3249,2567,2025-01-27,601633,长城汽车,汽车整车,2.3828685
3250,820,2025-01-27,301093,华兰股份,医疗器械,2.3827255
3251,1959,2025-01-27,603188,亚邦股份,化学制品,2.382356
3252,4095,2025-01-27,301026,浩通科技,小金属,2.3822486
3253,1107,2025-01-27,300631,久吾高科,环保行业,2.3814588
3254,2808,2025-01-27,1324,长青科技,交运设备,2.3812203
3255,2718,2025-01-27,603075,热威股份,家电行业,2.3799644
3256,581,2025-01-27,2078,太阳纸业,造纸印刷,2.3799121
3257,457,2025-01-27,603209,兴通股份,航运港口,2.3788958
3258,4206,2025-01-27,2795,永和智控,通用设备,2.3786159
3259,2131,2025-01-27,2315,焦点科技,互联网服务,2.3784325
3260,1874,2025-01-27,603938,三孚股份,化学制品,2.378109
3261,2939,2025-01-27,2230,科大讯飞,软件开发,2.3777664
3262,1210,2025-01-27,600222,太龙药业,中药,2.3770242
3263,4388,2025-01-27,601881,中国银河,证券,2.3763866
3264,931,2025-01-27,931,中 关 村,化学制药,2.375257
3265,4381,2025-01-27,686,东北证券,证券,2.3749456
3266,3194,2025-01-27,603530,神马电力,电网设备,2.3747637
3267,3676,2025-01-27,2595,豪迈科技,专用设备,2.3744762
3268,4661,2025-01-27,2139,拓邦股份,消费电子,2.3730338
3269,3654,2025-01-27,2890,弘宇股份,专用设备,2.3714437
3270,300,2025-01-27,300505,川金诺,化肥行业,2.3707316
3271,505,2025-01-27,300021,大禹节水,农牧饲渔,2.3707166
3272,1764,2025-01-27,600293,三峡新材,玻璃玻纤,2.368328
3273,674,2025-01-27,603113,金能科技,化学原料,2.3676336
3274,1181,2025-01-27,688069,德林海,环保行业,2.367203
3275,335,2025-01-27,2652,扬子新材,装修建材,2.3664966
3276,4637,2025-01-27,688007,光峰科技,消费电子,2.3656979
3277,2381,2025-01-27,601500,通用股份,橡胶制品,2.3653462
3278,881,2025-01-27,2653,海思科,化学制药,2.365151
3279,345,2025-01-27,603208,江山欧派,装修建材,2.3644447
3280,1716,2025-01-27,601113,华鼎股份,化纤行业,2.3633866
3281,1823,2025-01-27,2155,湖南黄金,贵金属,2.3612618
3282,263,2025-01-27,1896,豫能控股,电力行业,2.360253
3283,1500,2025-01-27,600684,珠江股份,房地产服务,2.3601606
3284,1496,2025-01-27,1914,招商积余,房地产服务,2.3597896
3285,2668,2025-01-27,603515,欧普照明,家电行业,2.3597584
3286,4286,2025-01-27,300470,中密控股,通用设备,2.359055
3287,4650,2025-01-27,2655,共达电声,消费电子,2.3581698
3288,1223,2025-01-27,600085,同仁堂,中药,2.3578002
3289,1777,2025-01-27,600721,百花医药,医疗服务,2.3571565
3290,3854,2025-01-27,2779,中坚科技,专用设备,2.3549721
3291,2784,2025-01-27,2105,信隆健康,交运设备,2.3540184
3292,1839,2025-01-27,605166,聚合顺,化学制品,2.3532763
3293,825,2025-01-27,688468,科美诊断,医疗器械,2.3525014
3294,1318,2025-01-27,603630,拉芳家化,美容护理,2.3516326
3295,2867,2025-01-27,3009,中天火箭,航天航空,2.3514957
3296,2595,2025-01-27,3018,金富科技,塑料制品,2.3509994
3297,200,2025-01-27,993,闽东电力,电力行业,2.350612
3298,3729,2025-01-27,300228,富瑞特装,专用设备,2.3502827
3299,4141,2025-01-27,600207,安彩高科,光伏设备,2.3499727
3300,2432,2025-01-27,600663,陆家嘴,房地产开发,2.34956
3301,4739,2025-01-27,301282,金禄电子,电子元件,2.349229
3302,325,2025-01-27,2088,鲁阳节能,装修建材,2.3490205
3303,2054,2025-01-27,688479,友车科技,汽车服务,2.3461967
3304,3227,2025-01-27,601096,宏盛华源,电网设备,2.3456216
3305,2964,2025-01-27,301218,华是科技,软件开发,2.3449972
3306,3759,2025-01-27,301338,凯格精机,专用设备,2.3447142
3307,2115,2025-01-27,300467,迅游科技,游戏,2.3440838
3308,3683,2025-01-27,301272,英华特,专用设备,2.3434699
3309,1724,2025-01-27,2758,浙农股份,综合行业,2.3431554
3310,2697,2025-01-27,2290,禾盛新材,家电行业,2.34271
3311,356,2025-01-27,1216,华瓷股份,装修建材,2.3425236
