,Datetime,code,name,expext
6906,2025-01-23,2055,得润电子,0.021032274
6907,2025-01-24,301428,世纪恒通,0.02103205
6908,2025-01-23,301068,大地海洋,0.02102895
6909,2025-01-23,688323,瑞华泰,0.021026134
6910,2025-01-24,300689,澄天伟业,0.021022126
6911,2025-01-27,600566,济川药业,0.021021605
6912,2025-01-23,815,美利云,0.021020263
6913,2025-01-24,603110,东方材料,0.021019354
6914,2025-01-24,301603,乔锋智能,0.021019176
6915,2025-01-23,605058,澳弘电子,0.021018922
6916,2025-01-27,688230,芯导科技,0.021014735
6917,2025-01-27,931,中 关 村,0.021014482
6918,2025-01-24,300277,海联讯,0.021014348
6919,2025-01-24,1373,翔腾新材,0.02100639
6920,2025-01-27,300397,天和防务,0.021005496
6921,2025-01-24,300298,三诺生物,0.020996898
6922,2025-01-24,600774,汉商集团,0.020995274
6923,2025-01-23,688425,铁建重工,0.020994365
6924,2025-01-23,688565,力源科技,0.020991564
6925,2025-01-23,300732,设研院,0.020988345
6926,2025-01-27,688233,神工股份,0.020985559
6927,2025-01-24,605369,拱东医疗,0.020985171
6928,2025-01-23,300713,英可瑞,0.020981938
6929,2025-01-23,603833,欧派家居,0.020967215
6930,2025-01-23,688679,通源环境,0.02096422
6931,2025-01-23,300942,易瑞生物,0.020961106
6932,2025-01-27,300463,迈克生物,0.020953327
6933,2025-01-27,600792,云煤能源,0.020949677
6934,2025-01-23,799,酒鬼酒,0.020939186
6935,2025-01-27,301032,新柴股份,0.020938486
6936,2025-01-27,601326,秦港股份,0.02093783
6937,2025-01-27,563,陕国投Ａ,0.020937443
6938,2025-01-23,600439,瑞贝卡,0.020927936
6939,2025-01-24,595,宝塔实业,0.020927653
6940,2025-01-23,300624,万兴科技,0.020923227
6941,2025-01-27,2215,诺 普 信,0.020922601
6942,2025-01-24,970,中科三环,0.020921499
6943,2025-01-23,600318,新力金融,0.020917818
6944,2025-01-23,300675,建科院,0.020908594
6945,2025-01-23,600285,羚锐制药,0.020907044
6946,2025-01-23,2537,海联金汇,0.020906731
6947,2025-01-24,605218,伟时电子,0.020896345
6948,2025-01-24,429,粤高速Ａ,0.020896167
6949,2025-01-24,301237,和顺科技,0.020894974
6950,2025-01-23,301199,迈赫股份,0.020893723
6951,2025-01-24,603198,迎驾贡酒,0.02089277
6952,2025-01-27,301508,中机认检,0.02089122
6953,2025-01-23,2659,凯文教育,0.020890832
6954,2025-01-23,688265,南模生物,0.020887718
6955,2025-01-24,603585,苏利股份,0.020887688
6956,2025-01-24,2472,双环传动,0.020885423
6957,2025-01-24,300601,康泰生物,0.020882696
6958,2025-01-27,1360,南矿集团,0.020878538
6959,2025-01-24,2890,弘宇股份,0.0208769
6960,2025-01-24,300164,通源石油,0.020872235
6961,2025-01-23,688409,富创精密,0.020865232
6962,2025-01-23,2305,南国置业,0.020864934
6963,2025-01-24,601069,西部黄金,0.02086234
6964,2025-01-27,2644,佛慈制药,0.020861343
6965,2025-01-24,300991,创益通,0.020860657
6966,2025-01-23,300260,新莱应材,0.020858169
6967,2025-01-24,300719,安达维尔,0.020857528
6968,2025-01-27,2093,国脉科技,0.020856485
6969,2025-01-27,2172,澳洋健康,0.020854816
6970,2025-01-27,2541,鸿路钢构,0.020853236
6971,2025-01-27,603416,信捷电气,0.02085127
6972,2025-01-23,603077,和邦生物,0.020849645
6973,2025-01-23,301121,紫建电子,0.020848155
6974,2025-01-27,300485,赛升药业,0.020843372
6975,2025-01-24,301336,趣睡科技,0.02084054
6976,2025-01-27,688558,国盛智科,0.020840198
6977,2025-01-23,603213,镇洋发展,0.02083379
6978,2025-01-23,68,华控赛格,0.020833567
6979,2025-01-24,601996,丰林集团,0.020831272
6980,2025-01-27,301290,东星医疗,0.020830393
6981,2025-01-27,603976,正川股份,0.020826519
6982,2025-01-24,2301,齐心集团,0.020824745
6983,2025-01-23,546,金圆股份,0.020822823
6984,2025-01-27,603836,海程邦达,0.020816669
6985,2025-01-23,600111,北方稀土,0.020813584
6986,2025-01-23,2973,侨银股份,0.020808816
6987,2025-01-24,603058,永吉股份,0.020807296
6988,2025-01-24,831,中国稀土,0.02080001
6989,2025-01-27,300174,元力股份,0.020799667
6990,2025-01-27,603903,中持股份,0.020797446
6991,2025-01-24,301017,漱玉平民,0.020788923
6992,2025-01-24,301167,建研设计,0.020788208
6993,2025-01-27,2813,路畅科技,0.020787284
6994,2025-01-24,600730,中国高科,0.020781904
6995,2025-01-23,3029,吉大正元,0.020777881
6996,2025-01-23,301603,乔锋智能,0.020777002
6997,2025-01-27,300858,科拓生物,0.02076818
6998,2025-01-27,603198,迎驾贡酒,0.020767823
6999,2025-01-27,603227,雪峰科技,0.02076289
7000,2025-01-24,688348,昱能科技,0.020760179
7001,2025-01-24,688382,益方生物-U,0.020759553
7002,2025-01-24,600887,伊利股份,0.020759553
7003,2025-01-24,605028,世茂能源,0.020759374
7004,2025-01-24,301197,工大科雅,0.020757735
7005,2025-01-23,300639,凯普生物,0.020751968
7006,2025-01-23,301266,宇邦新材,0.020751223
7007,2025-01-23,2563,森马服饰,0.020748973
7008,2025-01-24,2205,国统股份,0.02074854
7009,2025-01-24,600886,国投电力,0.020748317
7010,2025-01-27,2697,红旗连锁,0.020747796
7011,2025-01-23,600791,京能置业,0.020746678
7012,2025-01-27,603275,众辰科技,0.02074328
7013,2025-01-27,2017,东信和平,0.020741582
7014,2025-01-24,300328,宜安科技,0.020739764
7015,2025-01-24,301222,浙江恒威,0.020736173
7016,2025-01-24,300346,南大光电,0.02073425
7017,2025-01-23,688055,龙腾光电,0.020729095
7018,2025-01-27,2202,金风科技,0.020728618
7019,2025-01-24,300618,寒锐钴业,0.020726457
7020,2025-01-24,301160,翔楼新材,0.020724952
7021,2025-01-23,2377,国创高新,0.020713612
7022,2025-01-24,2803,吉宏股份,0.02071327
7023,2025-01-27,603317,天味食品,0.020703435
7024,2025-01-24,301321,翰博高新,0.020700365
7025,2025-01-23,603190,亚通精工,0.02069749
7026,2025-01-23,600938,中国海油,0.020696506
