,Datetime,code,name,bankuai,optimistic,pessimistic
0,2025-01-27,SH.ZB_603398,沐邦高科,光伏设备,20.255037,-2.146122
1,2025-01-27,SZ.ZB_000856,冀东装备,专用设备,19.538086,-11.312562
2,2025-01-27,SH.KC_300344,立方数科,软件开发,19.2847,-4.495725
3,2025-01-27,SH.KC_300634,彩讯股份,互联网服务,18.456926,-7.3893113
4,2025-01-27,SZ.ZB_000668,荣丰控股,房地产开发,18.208532,-4.0587287
5,2025-01-14,SH.KC_300307,慈星股份,专用设备,17.52552,-5.4610057
6,2025-01-27,SH.ZB_603777,来伊份,食品饮料,17.214602,-3.2874331
7,2025-01-27,SZ.ZB_002496,辉丰股份,农药兽药,16.503544,-0.47265515
8,2025-01-27,SH.KC_301512,智信精密,专用设备,16.22797,-5.1137815
9,2025-01-27,SH.KC_301248,杰创智能,软件开发,16.204647,-6.004008
10,2025-01-27,SH.ZB_600539,狮头股份,环保行业,15.950529,-3.536509
11,2025-01-27,SH.KC_300857,协创数据,消费电子,15.73071,-5.2314997
12,2025-01-27,SH.KC_300654,世纪天鸿,文化传媒,15.6136465,-6.342679
13,2025-01-27,SH.ZB_603261,立航科技,航天航空,15.293224,-2.2685177
14,2025-01-27,SH.ZB_600892,大晟文化,游戏,15.223689,-3.537913
15,2025-01-27,SZ.ZB_000759,中百集团,商业百货,15.007149,-3.0396447
16,2025-01-27,SZ.ZB_002691,冀凯股份,专用设备,14.837291,-9.035609
17,2025-01-27,SZ.ZB_001270,铖昌科技,半导体,14.370258,-1.0958964
18,2025-01-27,SH.ZB_600128,苏豪弘业,贸易行业,14.202719,-2.0895932
19,2025-01-27,SH.KC_688620,安凯微,半导体,14.14574,-6.716678
20,2025-01-27,SH.KC_300902,国安达,专用设备,14.081235,-0.61588717
21,2025-01-27,SH.KC_300996,普联软件,软件开发,14.068328,-8.632602
22,2025-01-27,SH.KC_301356,天振股份,塑料制品,14.023431,-5.6803904
23,2025-01-27,SZ.ZB_000016,深康佳Ａ,家电行业,13.843177,-1.6903695
24,2025-01-27,SZ.ZB_000691,亚太实业,化学制品,13.789983,-1.62527
25,2025-01-27,SZ.ZB_002529,海源复材,专用设备,13.566134,-1.2951639
26,2025-01-27,SH.KC_300159,新研股份,航天航空,13.503305,-0.8292526
27,2025-01-27,SH.ZB_600076,康欣新材,装修建材,13.154693,-4.0699844
28,2025-01-27,SZ.ZB_002122,汇洲智能,通用设备,13.137974,-1.9504311
29,2025-01-27,SZ.ZB_002253,川大智胜,软件开发,13.123555,-0.95277953
30,2025-01-27,SZ.ZB_002816,和科达,专用设备,13.055606,-4.0059314
31,2025-01-27,SH.KC_300249,依米康,软件开发,13.042768,-5.55733
32,2025-01-27,SH.ZB_600130,波导股份,消费电子,12.991519,0.0030452386
33,2025-01-27,SZ.ZB_000890,法尔胜,通用设备,12.923713,-4.214036
34,2025-01-27,SH.KC_688229,博睿数据,互联网服务,12.891359,-5.3039417
35,2025-01-27,SH.KC_300608,思特奇,软件开发,12.877096,-5.2209206
36,2025-01-27,SH.ZB_600243,青海华鼎,通用设备,12.865613,-0.899272
37,2025-01-27,SZ.ZB_002418,康盛股份,家电行业,12.689255,-2.4106557
38,2025-01-27,SH.KC_300055,万邦达,环保行业,12.66623,-4.95582
39,2025-01-27,SH.KC_688143,长盈通,电子元件,12.332906,-6.687135
40,2025-01-27,SH.ZB_600228,返利科技,互联网服务,12.237538,-1.3363131
41,2025-01-27,SH.KC_300652,雷迪克,汽车零部件,12.198745,-4.7219963
42,2025-01-27,SZ.ZB_002789,建艺集团,装修装饰,12.133944,-0.65213853
43,2025-01-27,SH.KC_688426,康为世纪,生物制品,12.078859,-2.8427386
44,2025-01-27,SH.ZB_605018,长华集团,汽车零部件,12.048,-7.0055614
45,2025-01-27,SH.ZB_603928,兴业股份,塑料制品,12.039612,-9.078865
46,2025-01-27,SZ.ZB_002848,高斯贝尔,家电行业,11.831482,-0.32345933
47,2025-01-27,SZ.ZB_000816,智慧农业,通用设备,11.747326,-1.6924769
48,2025-01-27,SH.ZB_605033,美邦股份,农药兽药,11.744489,-2.8153887
49,2025-01-27,SH.KC_301286,侨源股份,化学原料,11.608301,-3.9827878
50,2025-01-27,SZ.ZB_000004,国华网安,软件开发,11.52903,-1.0729773
51,2025-01-27,SH.ZB_603682,锦和商管,房地产服务,11.516185,-1.9531913
52,2025-01-27,SH.KC_300333,兆日科技,软件开发,11.491853,-4.378377
53,2025-01-27,SZ.ZB_002667,威领股份,能源金属,11.480459,-2.8924716
54,2025-01-27,SZ.ZB_002306,中科云网,旅游酒店,11.458778,-0.40638465
55,2025-01-27,SH.ZB_600421,华嵘控股,通用设备,11.4404125,-1.2998719
56,2025-01-27,SZ.ZB_000736,中交地产,房地产开发,11.437734,-1.2488054
57,2025-01-27,SH.KC_300499,高澜股份,专用设备,11.252429,-3.0256786
58,2025-01-27,SH.KC_300222,科大智能,电网设备,11.175706,-5.957719
59,2025-01-27,SH.ZB_600778,友好集团,商业百货,11.120756,-1.9262049
60,2025-01-27,SH.ZB_600238,海南椰岛,酿酒行业,11.086859,-0.66850036
61,2025-01-27,SH.KC_300840,酷特智能,纺织服装,11.049144,-7.437133
62,2025-01-27,SH.KC_301511,德福科技,电池,10.966211,-3.9917185
63,2025-01-27,SH.ZB_600734,实达集团,通信设备,10.931449,-4.2521324
64,2025-01-27,SZ.ZB_002199,东晶电子,电子元件,10.819115,-0.8603338
65,2025-01-27,SH.KC_300093,金刚光伏,光伏设备,10.803339,-1.9213265
66,2025-01-27,SZ.ZB_002265,建设工业,汽车零部件,10.661326,-4.9257803
67,2025-01-27,SH.ZB_600052,东望时代,公用事业,10.648903,-4.238806
68,2025-01-27,SH.KC_300959,线上线下,通信服务,10.645146,-2.7660904
69,2025-01-27,SZ.ZB_002820,桂发祥,食品饮料,10.462167,-3.9149027
70,2025-01-27,SH.KC_688716,中研股份,塑料制品,10.323384,-4.9009647
71,2025-01-27,SH.KC_300853,申昊科技,通用设备,10.294467,-2.3339233
72,2025-01-27,SH.ZB_600556,天下秀,文化传媒,10.256598,-2.3412771
73,2025-01-27,SH.KC_301030,仕净科技,专用设备,10.189392,-1.3257004
74,2025-01-27,SH.ZB_600191,华资实业,农牧饲渔,10.16629,-6.753537
75,2025-01-27,SH.KC_688165,埃夫特-U,通用设备,10.132119,-3.5040922
76,2025-01-27,SH.KC_688408,中信博,光伏设备,10.127771,-1.9265864
77,2025-01-27,SH.ZB_603729,龙韵股份,文化传媒,10.0917845,-5.228754
78,2025-01-27,SH.KC_300161,华中数控,通用设备,10.068382,-3.9485476
79,2025-01-27,SH.KC_300391,长药控股,中药,10.025377,-1.3984133
80,2025-01-27,SZ.ZB_000826,启迪环境,环保行业,9.902339,-2.3807874
81,2025-01-27,SH.KC_301318,维海德,消费电子,9.888667,-4.7478385
82,2025-01-27,SH.ZB_605179,一鸣食品,食品饮料,9.874863,-3.9415534
83,2025-01-27,SH.ZB_600358,国旅联合,互联网服务,9.849687,-1.9248266
84,2025-01-27,SH.KC_300493,润欣科技,贸易行业,9.820739,-4.792164
85,2025-01-27,SH.ZB_600187,国中水务,公用事业,9.819272,-2.188776
86,2025-01-27,SZ.ZB_002973,侨银股份,环保行业,9.805615,-5.152183
87,2025-01-27,SH.KC_301018,申菱环境,专用设备,9.797117,-3.6769667
88,2025-01-27,SH.ZB_600858,银座股份,商业百货,9.769104,-3.5126112
89,2025-01-27,SH.KC_688362,甬矽电子,半导体,9.765875,-1.5295157
90,2025-01-27,SZ.ZB_000627,天茂集团,保险,9.720686,-5.2936
91,2025-01-27,SZ.ZB_000716,黑芝麻,食品饮料,9.714598,-3.677304
92,2025-01-27,SH.KC_300071,福石控股,文化传媒,9.675137,-4.337099
93,2025-01-27,SZ.ZB_000793,华闻集团,文化传媒,9.629454,-2.6637635
94,2025-01-27,SH.ZB_600714,金瑞矿业,化学原料,9.628874,-2.3505635
95,2025-01-27,SH.ZB_603789,星光农机,专用设备,9.627684,-0.364466
96,2025-01-27,SH.KC_301157,华塑科技,计算机设备,9.614226,-3.6487203
97,2025-01-27,SH.KC_300792,壹网壹创,互联网服务,9.600984,-3.1491644
98,2025-01-27,SH.KC_300607,拓斯达,通用设备,9.576921,-3.1550143
99,2025-01-27,SH.ZB_600636,国新文化,教育,9.571786,-1.4135801
100,2025-01-27,SZ.ZB_002733,雄韬股份,电池,9.562495,-4.026173
101,2025-01-27,SZ.ZB_002636,金安国纪,电子元件,9.558799,-2.6427217
102,2025-01-27,SZ.ZB_000419,通程控股,商业百货,9.553264,-3.510491
103,2025-01-27,SH.KC_300716,泉为科技,光伏设备,9.52194,-4.026356
104,2025-01-27,SH.KC_300127,银河磁体,小金属,9.516907,-3.0340648
105,2025-01-27,SH.KC_301397,溯联股份,汽车零部件,9.512702,-5.861682
106,2025-01-27,SZ.ZB_002757,南兴股份,专用设备,9.472982,-4.296343
107,2025-01-27,SH.ZB_603068,博通集成,半导体,9.466985,-5.6117983
108,2025-01-27,SH.ZB_600693,东百集团,商业百货,9.463206,-3.9398
109,2025-01-27,SH.KC_688053,思科瑞,电子元件,9.456068,-1.1916969
110,2025-01-27,SH.ZB_603598,引力传媒,文化传媒,9.370056,-6.1356745
111,2025-01-27,SH.KC_688095,福昕软件,软件开发,9.329984,-5.5719895
112,2025-01-27,SH.KC_300378,鼎捷数智,软件开发,9.315676,-5.4757133
113,2025-01-27,SZ.ZB_002530,金财互联,互联网服务,9.310295,-5.032031
114,2025-01-27,SH.ZB_603015,弘讯科技,专用设备,9.257293,-3.6995518
115,2025-01-27,SH.ZB_600811,东方集团,农牧饲渔,9.223853,-1.2126373
116,2025-01-27,SH.KC_301600,慧翰股份,通信设备,9.184581,-2.5037696
117,2025-01-27,SZ.ZB_000573,粤宏远Ａ,房地产开发,9.178533,-8.82501
118,2025-01-27,SZ.ZB_002861,瀛通通讯,消费电子,9.169783,-6.8583755
119,2025-01-27,SH.KC_300170,汉得信息,互联网服务,9.110109,-8.595986
120,2025-01-27,SZ.ZB_000010,美丽生态,工程建设,9.106042,-3.958581
121,2025-01-27,SZ.ZB_002760,凤形股份,通用设备,9.079782,-3.2644086
122,2025-01-27,SZ.ZB_002058,威尔泰,电网设备,9.079486,-1.0667043
123,2025-01-27,SH.KC_688511,天微电子,电子元件,9.029603,-1.4521583
124,2025-01-27,SH.ZB_600405,动力源,电源设备,9.028994,-2.1642375
125,2025-01-27,SH.KC_300561,汇金科技,软件开发,9.023259,-3.4766812
126,2025-01-27,SZ.ZB_002137,实益达,电子元件,9.017548,-2.5595376
127,2025-01-27,SZ.ZB_001282,三联锻造,汽车零部件,9.003028,-6.0600243
128,2025-01-27,SH.ZB_603177,德创环保,环保行业,8.995167,-0.9900833
129,2025-01-27,SZ.ZB_003015,日久光电,光学光电子,8.9670315,-4.780201
130,2025-01-27,SH.ZB_603800,洪田股份,专用设备,8.926025,-3.348012
131,2025-01-27,SH.ZB_603101,汇嘉时代,商业百货,8.923967,-1.6764773
132,2025-01-27,SZ.ZB_001236,弘业期货,多元金融,8.92282,-4.054016
133,2025-01-27,SH.KC_300479,神思电子,计算机设备,8.890894,-3.4002938
134,2025-01-27,SH.KC_300697,电工合金,有色金属,8.8255825,-6.6255293
135,2025-01-27,SH.KC_301001,凯淳股份,互联网服务,8.822036,-4.4406614
136,2025-01-27,SH.KC_688429,时创能源,光伏设备,8.819741,-3.0558295
137,2025-01-27,SH.KC_300154,瑞凌股份,通用设备,8.813975,-2.4584901
138,2025-01-27,SZ.ZB_002549,凯美特气,化学制品,8.80621,-3.590507
139,2025-01-27,SH.KC_300276,三丰智能,专用设备,8.762942,-3.3265405
140,2025-01-27,SH.KC_300798,锦鸡股份,化学制品,8.739998,-3.4123442
141,2025-01-27,SZ.ZB_002640,跨境通,贸易行业,8.739408,-2.2585027
142,2025-01-27,SZ.ZB_002762,金发拉比,纺织服装,8.647232,-1.6336129
143,2025-01-27,SH.KC_301061,匠心家居,家电行业,8.634133,-5.3357697
144,2025-01-27,SH.KC_301336,趣睡科技,家用轻工,8.62284,-5.251332
145,2025-01-27,SZ.ZB_002175,东方智造,仪器仪表,8.613012,-3.1010113
146,2025-01-27,SH.KC_300377,赢时胜,软件开发,8.600638,-2.609583
147,2025-01-27,SZ.ZB_002453,华软科技,化学制品,8.594605,-5.7564483
148,2025-01-27,SZ.ZB_002184,海得控制,专用设备,8.589268,-3.0387077
149,2025-01-27,SH.KC_688226,威腾电气,电网设备,8.5622635,-5.3459992
150,2025-01-27,SH.ZB_605069,正和生态,环保行业,8.55986,-3.4402783
151,2025-01-27,SZ.ZB_002068,黑猫股份,橡胶制品,8.559444,-2.1444209
152,2025-01-27,SH.ZB_603716,塞力医疗,医药商业,8.559421,-3.3820517
153,2025-01-27,SZ.ZB_000795,英洛华,小金属,8.5137205,-3.135768
154,2025-01-27,SH.KC_688400,凌云光,专用设备,8.478027,-5.2977376
155,2025-01-27,SH.KC_688313,仕佳光子,通信设备,8.475639,-6.00298
156,2025-01-27,SH.KC_301082,久盛电气,电网设备,8.469516,-2.656605
157,2025-01-27,SZ.ZB_002009,天奇股份,专用设备,8.462353,-3.5376031
158,2025-01-27,SH.ZB_600355,精伦电子,通信设备,8.461426,-1.3101248
159,2025-01-27,SH.KC_300688,创业黑马,教育,8.444503,-4.395702
160,2025-01-27,SH.KC_301288,清研环境,环保行业,8.440752,-0.50916934
161,2025-01-27,SH.ZB_600423,柳化股份,化学原料,8.438307,-1.4116311
162,2025-01-27,SZ.ZB_002693,双成药业,生物制品,8.434355,-1.2467153
163,2025-01-27,SH.KC_301315,威士顿,软件开发,8.423522,-4.2254176
164,2025-01-27,SH.KC_301536,星宸科技,半导体,8.419718,-4.580057
165,2025-01-27,SH.ZB_603429,集友股份,造纸印刷,8.333113,-4.042281
166,2025-01-27,SZ.ZB_002657,中科金财,互联网服务,8.301498,-4.209344
167,2025-01-27,SH.ZB_603615,茶花股份,塑料制品,8.291147,-3.9427273
168,2025-01-27,SH.KC_300985,致远新能,通用设备,8.278558,-2.956965
169,2025-01-27,SH.ZB_600446,金证股份,互联网服务,8.2172785,-2.0581274
170,2025-01-27,SH.ZB_600889,南京化纤,化纤行业,8.216058,-4.0925937
171,2025-01-27,SH.KC_300949,奥雅股份,工程咨询服务,8.209279,-2.761045
172,2025-01-13,SH.KC_688073,毕得医药,生物制品,8.208461,-3.6606867
173,2025-01-27,SH.KC_688085,三友医疗,医疗器械,8.193809,-2.4167814
174,2025-01-27,SH.KC_300299,富春股份,游戏,8.193409,-3.4013278
175,2025-01-27,SZ.ZB_002403,爱仕达,家电行业,8.190899,-3.1351726
176,2025-01-27,SZ.ZB_002449,国星光电,光学光电子,8.187051,-2.6143384
177,2025-01-27,SH.ZB_600198,大唐电信,通信设备,8.183742,-2.0844762
178,2025-01-27,SH.KC_300250,初灵信息,互联网服务,8.159915,-4.0421205
179,2025-01-27,SZ.ZB_002717,岭南股份,环保行业,8.1514435,-2.171374
180,2025-01-27,SH.KC_688717,艾罗能源,光伏设备,8.140355,-3.8775675
181,2025-01-27,SH.KC_300812,易天股份,消费电子,8.129263,-2.6004424
182,2025-01-27,SH.KC_300084,海默科技,采掘行业,8.11556,-3.1807053
183,2025-01-27,SZ.ZB_001309,德明利,半导体,8.107747,-4.148193
184,2025-01-27,SH.KC_688766,普冉股份,半导体,8.103598,-4.206113
185,2025-01-27,SH.KC_301220,亚香股份,化学制品,8.084713,-5.6972675
186,2025-01-27,SH.KC_688369,致远互联,软件开发,8.077577,-4.785971
187,2025-01-27,SH.ZB_603389,亚振家居,装修建材,8.076644,-1.4796455
188,2025-01-27,SH.ZB_603838,四通股份,装修建材,8.07545,-2.0978642
189,2025-01-27,SH.KC_300753,爱朋医疗,医疗器械,8.074917,-3.0208223
190,2025-01-27,SH.KC_300085,银之杰,软件开发,8.06764,-2.7818968
191,2025-01-27,SH.ZB_603978,深圳新星,有色金属,8.067608,-2.8575315
192,2025-01-27,SZ.ZB_002552,宝鼎科技,通用设备,8.050383,-2.9575226
193,2025-01-27,SH.KC_300537,广信材料,电子化学品,8.042426,-1.6748878
194,2025-01-27,SH.KC_300399,天利科技,互联网服务,8.039199,-4.544506
195,2025-01-27,SH.KC_301123,奕东电子,消费电子,8.03212,-3.3388257
196,2025-01-27,SZ.ZB_002583,海能达,通信设备,8.024626,-3.2911153
197,2025-01-27,SH.ZB_600610,中毅达,化学原料,8.010494,-2.725179
198,2025-01-27,SH.KC_300068,南都电源,电池,7.9867096,-1.9479502
199,2025-01-23,SH.KC_688350,富淼科技,化学制品,7.9662547,-4.3135633
200,2025-01-27,SH.KC_688365,光云科技,互联网服务,7.9532547,-3.9125865
201,2025-01-27,SH.ZB_600802,福建水泥,水泥建材,7.9454155,-3.719782
202,2025-01-27,SZ.ZB_000158,常山北明,综合行业,7.928924,-2.5419197
203,2025-01-27,SH.ZB_600172,黄河旋风,非金属材料,7.9200864,-1.948201
204,2025-01-27,SH.KC_688502,茂莱光学,光学光电子,7.912403,-4.3240495
205,2025-01-27,SZ.ZB_002291,遥望科技,互联网服务,7.9063387,-2.0556436
206,2025-01-27,SZ.ZB_002229,鸿博股份,造纸印刷,7.900384,-2.2418113
207,2025-01-27,SH.KC_688115,思林杰,仪器仪表,7.887083,-2.5043807
208,2025-01-27,SH.KC_300733,西菱动力,汽车零部件,7.884616,-4.519117
209,2025-01-27,SH.KC_301024,霍普股份,工程建设,7.877518,-3.1980548
210,2025-01-27,SH.KC_300242,佳云科技,文化传媒,7.871184,-3.376907
211,2025-01-27,SH.ZB_603718,海利生物,农药兽药,7.8709154,-3.7945633
212,2025-01-27,SH.ZB_600053,九鼎投资,多元金融,7.8377023,-3.0801873
213,2025-01-27,SZ.ZB_002187,广百股份,商业百货,7.8373237,-2.6294994
214,2025-01-27,SH.KC_300386,飞天诚信,软件开发,7.779476,-3.413572
215,2025-01-27,SZ.ZB_002134,天津普林,电子元件,7.77659,-3.2056398
216,2025-01-27,SH.ZB_603106,恒银科技,计算机设备,7.772684,-3.5054698
217,2025-01-27,SZ.ZB_001366,播恩集团,农牧饲渔,7.769248,-3.9860387
218,2025-01-27,SH.KC_300211,亿通科技,通信服务,7.749647,-2.9266484
