,Datetime,code,name,bankuai,optimistic,pessimistic
55,2025-01-27,SH.KC_301286,侨源股份,化学原料,11.744444,-3.5978298
56,2025-01-27,SZ.ZB_002199,东晶电子,电子元件,11.651276,-0.63315314
57,2025-01-27,SH.ZB_603682,锦和商管,房地产服务,11.64261,-1.9544208
58,2025-01-27,SH.ZB_600734,实达集团,通信设备,11.611451,-4.306492
59,2025-01-27,SH.KC_301511,德福科技,电池,11.549137,-3.4757621
60,2025-01-27,SH.KC_300499,高澜股份,专用设备,11.452537,-2.7284563
61,2025-01-27,SH.KC_300333,兆日科技,软件开发,11.357437,-4.323942
62,2025-01-27,SH.KC_300840,酷特智能,纺织服装,11.284302,-7.8799896
63,2025-01-27,SH.ZB_600778,友好集团,商业百货,11.255275,-1.3721697
64,2025-01-27,SH.KC_300222,科大智能,电网设备,11.2416725,-6.203837
65,2025-01-27,SH.KC_300093,金刚光伏,光伏设备,11.112981,-1.4368917
66,2025-01-27,SH.ZB_600052,东望时代,公用事业,11.112859,-4.168967
67,2025-01-27,SZ.ZB_000826,启迪环境,环保行业,10.802136,-2.1658885
68,2025-01-27,SH.KC_688408,中信博,光伏设备,10.636549,-1.4700809
69,2025-01-27,SH.KC_300161,华中数控,通用设备,10.591139,-3.7537308
70,2025-01-27,SH.ZB_603068,博通集成,半导体,10.513123,-5.1573896
71,2025-01-27,SH.KC_300391,长药控股,中药,10.446109,-0.64423513
72,2025-01-27,SH.KC_300607,拓斯达,通用设备,10.423596,-3.0922008
73,2025-01-27,SH.ZB_600191,华资实业,农牧饲渔,10.393693,-6.614382
74,2025-01-27,SH.ZB_603789,星光农机,专用设备,10.369329,0.27791113
75,2025-01-27,SZ.ZB_000716,黑芝麻,食品饮料,10.352911,-3.1925156
76,2025-01-27,SH.KC_301318,维海德,消费电子,10.317967,-4.669936
77,2025-01-27,SH.KC_301030,仕净科技,专用设备,10.256646,-0.80463886
78,2025-01-27,SH.ZB_600187,国中水务,公用事业,10.245464,-1.8525919
79,2025-01-27,SH.KC_688362,甬矽电子,半导体,10.244889,-1.2754387
80,2025-01-27,SZ.ZB_000793,华闻集团,文化传媒,10.220687,-2.4770386
81,2025-01-27,SH.KC_300493,润欣科技,贸易行业,10.203134,-4.8680277
82,2025-01-27,SZ.ZB_002265,建设工业,汽车零部件,10.190151,-5.592291
83,2025-01-27,SH.KC_300853,申昊科技,通用设备,10.131614,-2.2400901
84,2025-01-27,SH.ZB_600556,天下秀,文化传媒,10.109939,-2.5785463
85,2025-01-27,SH.ZB_603729,龙韵股份,文化传媒,10.105719,-5.5073314
86,2025-01-27,SH.KC_688716,中研股份,塑料制品,10.046448,-4.9511805
87,2025-01-27,SH.ZB_600358,国旅联合,互联网服务,10.0347595,-1.5376495
88,2025-01-27,SZ.ZB_002973,侨银股份,环保行业,10.006385,-5.192257
89,2025-01-27,SH.KC_300959,线上线下,通信服务,9.991862,-2.954429
90,2025-01-27,SH.KC_688165,埃夫特-U,通用设备,9.98493,-4.258182
91,2025-01-27,SH.ZB_600636,国新文化,教育,9.921453,-1.163041
92,2025-01-27,SH.ZB_600714,金瑞矿业,化学原料,9.910138,-2.2683444
93,2025-01-27,SZ.ZB_002058,威尔泰,电网设备,9.901826,-0.50204283
94,2025-01-27,SH.KC_300071,福石控股,文化传媒,9.889661,-4.46848
95,2025-01-27,SH.ZB_600858,银座股份,商业百货,9.8005905,-3.0587165
96,2025-01-27,SH.KC_300716,泉为科技,光伏设备,9.790916,-3.9855175
97,2025-01-27,SZ.ZB_002820,桂发祥,食品饮料,9.746976,-3.8569589
98,2025-01-27,SH.KC_300127,银河磁体,小金属,9.729044,-2.798317
99,2025-01-27,SZ.ZB_000419,通程控股,商业百货,9.705712,-3.4775476
100,2025-01-27,SH.ZB_600811,东方集团,农牧饲渔,9.664329,-0.9325514
101,2025-01-27,SH.KC_301397,溯联股份,汽车零部件,9.645631,-5.4836736
102,2025-01-27,SZ.ZB_002636,金安国纪,电子元件,9.589813,-2.0082688
103,2025-01-27,SZ.ZB_002757,南兴股份,专用设备,9.547748,-4.5588074
104,2025-01-27,SH.KC_688053,思科瑞,电子元件,9.522192,-1.1357039
