,Datetime,code,name,bankuai,expext
0,2025-01-24,SZ.ZB_002496,辉丰股份,农药兽药,2.059176
1,2025-01-24,SZ.ZB_002848,高斯贝尔,家电行业,0.7653685
2,2025-01-24,SZ.ZB_001270,铖昌科技,半导体,0.7138332
3,2025-01-27,SH.ZB_600753,庚星股份,贸易行业,0.6784858
4,2025-01-24,SH.ZB_603261,立航科技,航天航空,0.5013267
5,2025-01-24,SZ.ZB_002253,川大智胜,软件开发,0.45691374
6,2025-01-27,SH.ZB_600130,波导股份,消费电子,0.106442906
7,2025-01-24,SH.ZB_600130,波导股份,消费电子,0.08394439
8,2025-01-27,SZ.ZB_000595,宝塔实业,通用设备,-0.099192746
9,2025-01-24,SH.KC_300159,新研股份,航天航空,-0.10028612
10,2025-01-24,SH.ZB_600892,大晟文化,游戏,-0.20967108
11,2025-01-24,SH.KC_301030,仕净科技,专用设备,-0.2737889
12,2025-01-24,SZ.ZB_002058,威尔泰,电网设备,-0.30410364
13,2025-01-27,SZ.ZB_002848,高斯贝尔,家电行业,-0.3136374
14,2025-01-24,SZ.ZB_002789,建艺集团,装修装饰,-0.34720486
15,2025-01-27,SZ.ZB_002306,中科云网,旅游酒店,-0.35321918
16,2025-01-27,SZ.ZB_000820,神雾节能,环保行业,-0.36595407
17,2025-01-24,SH.KC_300902,国安达,专用设备,-0.37690365
18,2025-01-27,SZ.ZB_002496,辉丰股份,农药兽药,-0.40005985
19,2025-01-27,SH.ZB_600238,海南椰岛,酿酒行业,-0.43750983
20,2025-01-27,SH.ZB_603789,星光农机,专用设备,-0.4543023
21,2025-01-27,SH.KC_301288,清研环境,环保行业,-0.46462473
22,2025-01-27,SH.ZB_600696,岩石股份,酿酒行业,-0.47606117
23,2025-01-24,SZ.ZB_000004,国华网安,软件开发,-0.5622303
24,2025-01-27,SZ.ZB_000639,西王食品,食品饮料,-0.56368876
25,2025-01-24,SH.ZB_603789,星光农机,专用设备,-0.62862074
26,2025-01-24,SZ.ZB_002199,东晶电子,电子元件,-0.65284485
27,2025-01-27,SZ.ZB_002789,建艺集团,装修装饰,-0.6594367
28,2025-01-24,SZ.ZB_000691,亚太实业,化学制品,-0.68192744
