,Datetime,code,name,bankuai,expext
0,2025-01-24,SZ.ZB_002496,辉丰股份,农药兽药,1.9193592
1,2025-01-27,SH.ZB_600753,庚星股份,贸易行业,0.74778295
2,2025-01-24,SH.ZB_603261,立航科技,航天航空,0.65318143
3,2025-01-24,SZ.ZB_002253,川大智胜,软件开发,0.60783976
4,2025-01-24,SZ.ZB_001270,铖昌科技,半导体,0.55425483
5,2025-01-24,SZ.ZB_002848,高斯贝尔,家电行业,0.5529543
6,2025-01-24,SH.KC_300902,国安达,专用设备,0.051887147
7,2025-01-27,SH.ZB_600130,波导股份,消费电子,0.0030452386
8,2025-01-24,SH.ZB_600130,波导股份,消费电子,-0.04383847
9,2025-01-24,SZ.ZB_002058,威尔泰,电网设备,-0.12830608
10,2025-01-27,SZ.ZB_000595,宝塔实业,通用设备,-0.14977828
11,2025-01-24,SH.ZB_600892,大晟文化,游戏,-0.19237119
12,2025-01-24,SH.KC_301030,仕净科技,专用设备,-0.2013242
13,2025-01-27,SZ.ZB_000820,神雾节能,环保行业,-0.23250431
14,2025-01-24,SH.KC_300159,新研股份,航天航空,-0.24797189
15,2025-01-27,SZ.ZB_000639,西王食品,食品饮料,-0.29317233
16,2025-01-27,SZ.ZB_002848,高斯贝尔,家电行业,-0.32346043
17,2025-01-24,SZ.ZB_002789,建艺集团,装修装饰,-0.33899134
18,2025-01-27,SH.ZB_603789,星光农机,专用设备,-0.364466
19,2025-01-24,SH.ZB_603789,星光农机,专用设备,-0.40578377
20,2025-01-27,SZ.ZB_002306,中科云网,旅游酒店,-0.40638465
21,2025-01-24,SZ.ZB_000004,国华网安,软件开发,-0.44163075
22,2025-01-27,SH.ZB_600696,岩石股份,酿酒行业,-0.4470153
23,2025-01-27,SZ.ZB_002496,辉丰股份,农药兽药,-0.47265515
24,2025-01-27,SH.ZB_603813,原尚股份,物流行业,-0.48267096
25,2025-01-27,SH.KC_301288,清研环境,环保行业,-0.50916934
26,2025-01-24,SH.KC_688253,英诺特,生物制品,-0.5279364
27,2025-01-24,SZ.ZB_002199,东晶电子,电子元件,-0.5652014
28,2025-01-27,SH.KC_300902,国安达,专用设备,-0.61588717
29,2025-01-24,SZ.ZB_000488,晨鸣纸业,造纸印刷,-0.6336015
30,2025-01-27,SZ.ZB_002789,建艺集团,装修装饰,-0.65213853
31,2025-01-24,SH.ZB_600421,华嵘控股,通用设备,-0.6585434
32,2025-01-27,SH.ZB_600238,海南椰岛,酿酒行业,-0.66850036
33,2025-01-24,SZ.ZB_000691,亚太实业,化学制品,-0.71710646
34,2025-01-27,SH.KC_300110,华仁药业,化学制药,-0.717696
35,2025-01-24,SH.ZB_603682,锦和商管,房地产服务,-0.7319026
36,2025-01-27,SH.ZB_600246,万通发展,房地产开发,-0.7340405
37,2025-01-27,SZ.ZB_002305,南国置业,房地产开发,-0.74077916
38,2025-01-24,SH.ZB_600753,庚星股份,贸易行业,-0.7465813
39,2025-01-24,SH.ZB_600129,太极集团,中药,-0.75900126
40,2025-01-27,SH.ZB_600193,创兴资源,装修装饰,-0.828696
41,2025-01-27,SH.KC_300159,新研股份,航天航空,-0.8292526
42,2025-01-24,SZ.ZB_002373,千方科技,互联网服务,-0.83798355
43,2025-01-24,SH.KC_300425,中建环能,环保行业,-0.83965063
44,2025-01-27,SH.ZB_600315,上海家化,美容护理,-0.8400237
45,2025-01-24,SH.KC_688276,百克生物,生物制品,-0.85063505
46,2025-01-24,SZ.ZB_000822,山东海化,化学原料,-0.855729
47,2025-01-27,SZ.ZB_002199,东晶电子,电子元件,-0.8603338
48,2025-01-27,SZ.ZB_000903,云内动力,汽车零部件,-0.87655
49,2025-01-27,SH.KC_301502,华阳智能,电机,-0.880073
50,2025-01-24,SZ.ZB_002762,金发拉比,纺织服装,-0.8923527
51,2025-01-27,SH.ZB_600243,青海华鼎,通用设备,-0.899272
52,2025-01-24,SH.ZB_600725,云维股份,煤炭行业,-0.9048505
53,2025-01-27,SZ.ZB_003032,传智教育,教育,-0.92287064
54,2025-01-27,SZ.ZB_002253,川大智胜,软件开发,-0.95277953
55,2025-01-24,SZ.ZB_002693,双成药业,生物制品,-0.9745365
56,2025-01-24,SH.ZB_600228,返利科技,互联网服务,-0.97494704
57,2025-01-24,SH.KC_300463,迈克生物,医疗器械,-0.9774029
58,2025-01-27,SH.ZB_603177,德创环保,环保行业,-0.9900833
59,2025-01-24,SZ.ZB_000906,浙商中拓,物流行业,-1.0190234
60,2025-01-24,SH.ZB_603868,飞科电器,家电行业,-1.0207425
61,2025-01-27,SZ.ZB_002519,银河电子,通信设备,-1.0223219
62,2025-01-27,SH.ZB_605081,太和水,环保行业,-1.0226431
63,2025-01-27,SH.ZB_600655,豫园股份,珠宝首饰,-1.0350723
64,2025-01-24,SZ.ZB_002306,中科云网,旅游酒店,-1.0363033
65,2025-01-27,SH.KC_300569,天能重工,风电设备,-1.0467135
66,2025-01-27,SZ.ZB_002058,威尔泰,电网设备,-1.0667043
67,2025-01-27,SZ.ZB_000004,国华网安,软件开发,-1.0729773
68,2025-01-24,SH.KC_300437,清水源,化学制品,-1.0864294
69,2025-01-27,SZ.ZB_001270,铖昌科技,半导体,-1.0958964
70,2025-01-24,SH.ZB_600624,复旦复华,综合行业,-1.1039158
71,2025-01-24,SZ.ZB_000903,云内动力,汽车零部件,-1.1040043
72,2025-01-27,SH.KC_300741,华宝股份,食品饮料,-1.1108115
73,2025-01-24,SH.ZB_603177,德创环保,环保行业,-1.1366811
74,2025-01-24,SZ.ZB_002210,飞马国际,环保行业,-1.1483426
75,2025-01-24,SZ.ZB_000799,酒鬼酒,酿酒行业,-1.1518177
76,2025-01-24,SH.KC_688053,思科瑞,电子元件,-1.1531698
77,2025-01-24,SH.KC_688793,倍轻松,家电行业,-1.1552012
78,2025-01-24,SH.ZB_600793,宜宾纸业,造纸印刷,-1.1561944
79,2025-01-24,SZ.ZB_002471,中超控股,电网设备,-1.1705629
80,2025-01-27,SH.ZB_600724,宁波富达,房地产开发,-1.1724869
81,2025-01-24,SZ.ZB_002895,川恒股份,化学原料,-1.1878365
82,2025-01-27,SH.KC_688053,思科瑞,电子元件,-1.1916969
83,2025-01-24,SH.ZB_600452,涪陵电力,电力行业,-1.196385
84,2025-01-24,SH.KC_688062,迈威生物-U,生物制品,-1.2070694
85,2025-01-24,SH.ZB_600702,舍得酒业,酿酒行业,-1.2079068
86,2025-01-24,SH.ZB_603398,沐邦高科,光伏设备,-1.2093219
87,2025-01-24,SH.ZB_603389,亚振家居,装修建材,-1.2103772
88,2025-01-27,SZ.ZB_002932,明德生物,医疗器械,-1.2124367
89,2025-01-27,SH.ZB_600811,东方集团,农牧饲渔,-1.2126373
90,2025-01-24,SH.ZB_603866,桃李面包,食品饮料,-1.2132581
91,2025-01-24,SH.KC_300261,雅本化学,农药兽药,-1.2191051
92,2025-01-24,SH.ZB_600800,渤海化学,化学制品,-1.2198714
93,2025-01-27,SZ.ZB_000488,晨鸣纸业,造纸印刷,-1.2275304
94,2025-01-27,SH.ZB_603690,至纯科技,专用设备,-1.23225
95,2025-01-24,SH.KC_688408,中信博,光伏设备,-1.2376314
96,2025-01-24,SH.KC_300829,金丹科技,食品饮料,-1.2386513
97,2025-01-27,SZ.ZB_000830,鲁西化工,化学原料,-1.2388027
98,2025-01-24,SH.ZB_600955,维远股份,化学原料,-1.2395477
99,2025-01-24,SZ.ZB_002918,蒙娜丽莎,装修建材,-1.2427989
100,2025-01-24,SZ.ZB_002121,科陆电子,电网设备,-1.2455854
101,2025-01-27,SZ.ZB_002693,双成药业,生物制品,-1.2467153
102,2025-01-27,SZ.ZB_002918,蒙娜丽莎,装修建材,-1.2471542
103,2025-01-24,SZ.ZB_002458,益生股份,农牧饲渔,-1.2480785
104,2025-01-27,SZ.ZB_000736,中交地产,房地产开发,-1.2488054
105,2025-01-27,SH.ZB_600129,太极集团,中药,-1.2512227
106,2025-01-24,SH.ZB_600372,中航机载,航天航空,-1.2555654
107,2025-01-24,SZ.ZB_000595,宝塔实业,通用设备,-1.2578882
108,2025-01-24,SH.KC_301487,盟固利,电池,-1.2607075
109,2025-01-24,SH.KC_688137,近岸蛋白,生物制品,-1.2729211
110,2025-01-27,SH.ZB_600596,新安股份,农药兽药,-1.27678
111,2025-01-27,SH.ZB_600884,杉杉股份,电子元件,-1.2809021
112,2025-01-24,SZ.ZB_003016,欣贺股份,纺织服装,-1.2840899
113,2025-01-27,SZ.ZB_002030,达安基因,医疗器械,-1.2902844
114,2025-01-24,SH.ZB_600446,金证股份,互联网服务,-1.2937155
115,2025-01-27,SZ.ZB_002529,海源复材,专用设备,-1.2951639
116,2025-01-24,SZ.ZB_002603,以岭药业,中药,-1.2968719
117,2025-01-24,SH.ZB_600355,精伦电子,通信设备,-1.298784
118,2025-01-27,SH.ZB_600421,华嵘控股,通用设备,-1.2998719
119,2025-01-24,SH.ZB_600238,海南椰岛,酿酒行业,-1.3024657
120,2025-01-24,SH.KC_301355,南王科技,造纸印刷,-1.3049148
