,Datetime,code,name,bankuai,expext
0,2025-01-24,SH.KC_688143,长盈通,电子元件,20.780878
1,2025-01-27,SZ.ZB_000856,冀东装备,专用设备,19.76466
2,2025-01-27,SH.KC_300634,彩讯股份,互联网服务,18.641241
3,2025-01-27,SH.ZB_603398,沐邦高科,光伏设备,18.53448
4,2025-01-24,SH.KC_301397,溯联股份,汽车零部件,17.537619
5,2025-01-14,SH.KC_300307,慈星股份,专用设备,17.455389
6,2025-01-27,SZ.ZB_000668,荣丰控股,房地产开发,17.349775
7,2025-01-27,SH.KC_300344,立方数科,软件开发,16.933455
8,2025-01-24,SH.KC_688590,新致软件,软件开发,16.527956
9,2025-01-24,SH.KC_301248,杰创智能,软件开发,16.418507
10,2025-01-27,SH.KC_301512,智信精密,专用设备,16.215883
11,2025-01-24,SH.KC_300378,鼎捷数智,软件开发,15.798171
12,2025-01-24,SH.KC_300688,创业黑马,教育,15.675722
13,2025-01-27,SH.KC_300654,世纪天鸿,文化传媒,15.579252
14,2025-01-27,SH.KC_301248,杰创智能,软件开发,15.576838
15,2025-01-24,SH.KC_688228,开普云,互联网服务,15.448539
16,2025-01-24,SH.KC_688031,星环科技-U,软件开发,15.419231
17,2025-01-27,SZ.ZB_002496,辉丰股份,农药兽药,15.257542
18,2025-01-24,SH.KC_300654,世纪天鸿,文化传媒,15.165131
19,2025-01-24,SH.KC_688229,博睿数据,互联网服务,15.124188
20,2025-01-27,SH.ZB_600539,狮头股份,环保行业,14.992793
21,2025-01-24,SH.ZB_603286,日盈电子,汽车零部件,14.5990715
22,2025-01-24,SH.KC_300250,初灵信息,互联网服务,14.596568
23,2025-01-13,SH.KC_300307,慈星股份,专用设备,14.45473
24,2025-01-27,SH.ZB_603777,来伊份,食品饮料,14.414544
25,2025-01-27,SZ.ZB_002691,冀凯股份,专用设备,14.318021
26,2025-01-27,SH.ZB_600892,大晟文化,游戏,14.316721
27,2025-01-24,SH.KC_688290,景业智能,专用设备,14.265852
28,2025-01-27,SH.ZB_603261,立航科技,航天航空,14.204447
29,2025-01-24,SH.KC_300634,彩讯股份,互联网服务,14.152847
30,2025-01-24,SH.KC_300608,思特奇,软件开发,14.135526
31,2025-01-27,SH.KC_300857,协创数据,消费电子,14.082046
32,2025-01-27,SH.KC_300996,普联软件,软件开发,14.063578
33,2025-01-24,SH.KC_688333,铂力特,通用设备,14.013185
34,2025-01-24,SH.ZB_603211,晋拓股份,汽车零部件,13.82014
35,2025-01-24,SH.KC_300496,中科创达,互联网服务,13.734116
36,2025-01-24,SH.ZB_600539,狮头股份,环保行业,13.628485
37,2025-01-27,SH.KC_688620,安凯微,半导体,13.625993
38,2025-01-27,SZ.ZB_000759,中百集团,商业百货,13.592045
39,2025-01-27,SZ.ZB_001270,铖昌科技,半导体,13.544829
40,2025-01-27,SH.KC_301356,天振股份,塑料制品,13.524966
41,2025-01-24,SZ.ZB_003033,征和工业,汽车零部件,13.384514
42,2025-01-27,SZ.ZB_000691,亚太实业,化学制品,13.375049
43,2025-01-24,SZ.ZB_002122,汇洲智能,通用设备,13.257692
44,2025-01-24,SH.KC_300840,酷特智能,纺织服装,13.19951
45,2025-01-27,SH.ZB_600128,苏豪弘业,贸易行业,13.061293
46,2025-01-24,SH.KC_300170,汉得信息,互联网服务,13.037793
47,2025-01-24,SZ.ZB_001270,铖昌科技,半导体,12.924777
