,Datetime,code,name,bankuai,expext
0,2025-01-27,SH.ZB_603398,沐邦高科,光伏设备,22.376375
1,2025-01-24,SH.KC_688143,长盈通,电子元件,22.354914
2,2025-01-27,SH.KC_300344,立方数科,软件开发,20.925722
3,2025-01-27,SZ.ZB_000856,冀东装备,专用设备,20.716091
4,2025-01-27,SZ.ZB_000668,荣丰控股,房地产开发,20.212452
5,2025-01-27,SH.KC_300634,彩讯股份,互联网服务,19.720934
6,2025-01-24,SH.KC_301397,溯联股份,汽车零部件,19.368126
7,2025-01-14,SH.KC_300307,慈星股份,专用设备,18.986746
8,2025-01-27,SZ.ZB_002496,辉丰股份,农药兽药,18.058292
9,2025-01-24,SH.KC_301248,杰创智能,软件开发,17.780731
10,2025-01-27,SH.KC_301512,智信精密,专用设备,17.545698
11,2025-01-24,SH.KC_300688,创业黑马,教育,17.451067
12,2025-01-24,SH.KC_688590,新致软件,软件开发,17.387571
13,2025-01-27,SH.KC_301248,杰创智能,软件开发,17.165642
14,2025-01-27,SH.ZB_600539,狮头股份,环保行业,17.159023
15,2025-01-24,SH.KC_688228,开普云,互联网服务,17.028276
16,2025-01-27,SH.ZB_603777,来伊份,食品饮料,16.84608
17,2025-01-27,SH.KC_300654,世纪天鸿,文化传媒,16.821217
18,2025-01-24,SH.KC_300378,鼎捷数智,软件开发,16.595545
19,2025-01-27,SH.KC_300857,协创数据,消费电子,16.593452
20,2025-01-24,SH.KC_688229,博睿数据,互联网服务,16.541662
21,2025-01-27,SH.ZB_603261,立航科技,航天航空,16.45908
22,2025-01-24,SH.KC_688031,星环科技-U,软件开发,16.27943
23,2025-01-24,SH.KC_300654,世纪天鸿,文化传媒,16.22549
24,2025-01-27,SH.ZB_600892,大晟文化,游戏,16.20525
25,2025-01-24,SH.ZB_600539,狮头股份,环保行业,16.09623
26,2025-01-24,SH.KC_300250,初灵信息,互联网服务,15.870266
27,2025-01-27,SZ.ZB_002691,冀凯股份,专用设备,15.7145815
28,2025-01-13,SH.KC_300307,慈星股份,专用设备,15.600817
29,2025-01-27,SZ.ZB_001270,铖昌科技,半导体,15.562873
30,2025-01-24,SH.ZB_603286,日盈电子,汽车零部件,15.4957075
31,2025-01-24,SZ.ZB_001270,铖昌科技,半导体,15.393164
32,2025-01-27,SZ.ZB_000016,深康佳Ａ,家电行业,15.256728
33,2025-01-24,SH.KC_688290,景业智能,专用设备,15.144454
34,2025-01-24,SH.KC_688333,铂力特,通用设备,15.058158
35,2025-01-27,SH.ZB_600128,苏豪弘业,贸易行业,15.057765
36,2025-01-27,SH.KC_301356,天振股份,塑料制品,15.051667
37,2025-01-27,SZ.ZB_000691,亚太实业,化学制品,15.045236
38,2025-01-24,SZ.ZB_002122,汇洲智能,通用设备,14.988692
39,2025-01-24,SH.KC_300608,思特奇,软件开发,14.917172
40,2025-01-24,SH.KC_300634,彩讯股份,互联网服务,14.900277
41,2025-01-27,SH.KC_300902,国安达,专用设备,14.780728
42,2025-01-24,SH.KC_300496,中科创达,互联网服务,14.634334
43,2025-01-27,SZ.ZB_000759,中百集团,商业百货,14.61832
44,2025-01-27,SH.KC_688620,安凯微,半导体,14.554121
45,2025-01-24,SZ.ZB_003033,征和工业,汽车零部件,14.553578
46,2025-01-27,SH.KC_300159,新研股份,航天航空,14.398183
47,2025-01-27,SZ.ZB_002529,海源复材,专用设备,14.351087
48,2025-01-27,SH.KC_300996,普联软件,软件开发,14.286945
49,2025-01-24,SH.ZB_600243,青海华鼎,通用设备,14.208035
50,2025-01-24,SH.ZB_603211,晋拓股份,汽车零部件,14.185669
