,Datetime,code,name,bankuai,pessimistic,optimistic
270,2025-01-27,SZ.ZB_002728,特一药业,中药,-1.6701529,2.0023525
271,2025-01-27,SH.ZB_600887,伊利股份,食品饮料,-1.6708344,1.6294986
272,2025-01-27,SH.ZB_603276,恒兴新材,化学原料,-1.6723703,0.93984455
273,2025-01-27,SH.ZB_601808,中海油服,采掘行业,-1.6723826,0.41531473
274,2025-01-27,SH.ZB_603839,安正时尚,纺织服装,-1.6732405,0.24118423
275,2025-01-27,SH.ZB_600362,江西铜业,有色金属,-1.6742285,-0.6891012
276,2025-01-27,SZ.ZB_002157,正邦科技,农牧饲渔,-1.6742326,0.5537808
277,2025-01-27,SH.ZB_600199,金种子酒,酿酒行业,-1.6746932,4.3139176
278,2025-01-27,SZ.ZB_002190,成飞集成,汽车零部件,-1.6762052,6.5714283
279,2025-01-27,SH.KC_688349,三一重能,风电设备,-1.6763821,1.9327372
280,2025-01-27,SZ.ZB_002100,天康生物,农牧饲渔,-1.677794,-0.74361414
281,2025-01-27,SH.ZB_603391,力聚热能,通用设备,-1.6782224,0.60403496
282,2025-01-27,SH.ZB_600742,一汽富维,汽车零部件,-1.6787028,0.45939535
283,2025-01-27,SH.KC_300705,九典制药,化学制药,-1.6797711,2.1336138
284,2025-01-27,SH.KC_301386,未来电器,电源设备,-1.6798775,2.12975
285,2025-01-27,SH.ZB_603500,祥和实业,交运设备,-1.6799275,1.7657906
286,2025-01-27,SH.KC_688057,金达莱,环保行业,-1.680401,-0.1492843
287,2025-01-27,SH.ZB_601958,金钼股份,小金属,-1.6806781,-0.07135123
288,2025-01-27,SH.KC_688779,五矿新能,电池,-1.6813241,2.6474013
289,2025-01-27,SH.KC_301152,天力锂能,电池,-1.6813941,7.1453466
290,2025-01-27,SH.ZB_603489,八方股份,电机,-1.681409,1.6449839
291,2025-01-27,SH.KC_300105,龙源技术,电源设备,-1.6827412,1.8695638
292,2025-01-27,SZ.ZB_002086,东方海洋,农牧饲渔,-1.6829826,6.189297
293,2025-01-27,SH.ZB_603708,家家悦,商业百货,-1.683009,2.6930451
294,2025-01-27,SZ.ZB_003022,联泓新科,化学制品,-1.6835263,2.5004716
295,2025-01-27,SH.ZB_601566,九牧王,纺织服装,-1.6842942,-0.676693
296,2025-01-27,SH.ZB_601003,柳钢股份,钢铁行业,-1.6855959,-0.5837694
297,2025-01-27,SH.ZB_600725,云维股份,煤炭行业,-1.685622,1.3302639
298,2025-01-27,SH.ZB_600785,新华百货,商业百货,-1.685677,2.3723154
299,2025-01-27,SH.ZB_603261,立航科技,航天航空,-1.6861309,16.45908
300,2025-01-27,SH.ZB_600148,长春一东,汽车零部件,-1.6870694,2.6255398
301,2025-01-27,SH.ZB_601065,江盐集团,化学原料,-1.6892416,-0.49726814
302,2025-01-27,SH.ZB_603958,哈森股份,纺织服装,-1.689752,3.1897664
303,2025-01-27,SZ.ZB_000876,新 希 望,农牧饲渔,-1.689891,0.7478669
304,2025-01-27,SH.KC_688210,统联精密,电子元件,-1.6901116,2.1092877
305,2025-01-27,SH.ZB_600702,舍得酒业,酿酒行业,-1.6906838,4.9412413
306,2025-01-27,SH.ZB_603208,江山欧派,装修建材,-1.6916964,1.8321812
307,2025-01-27,SH.ZB_600378,昊华科技,化学制品,-1.6924139,1.8507137
308,2025-01-27,SZ.ZB_000799,酒鬼酒,酿酒行业,-1.6960707,4.435219
309,2025-01-27,SZ.ZB_000756,新华制药,化学制药,-1.6962243,0.7989332
310,2025-01-27,SZ.ZB_002151,北斗星通,通信设备,-1.6962506,1.9920542
311,2025-01-27,SH.KC_688126,沪硅产业,半导体,-1.6975502,3.5366745
312,2025-01-27,SH.ZB_600329,达仁堂,中药,-1.697676,2.4775312
313,2025-01-27,SZ.ZB_000157,中联重科,工程机械,-1.697826,-0.010599196
314,2025-01-27,SH.ZB_605365,立达信,家电行业,-1.6983137,0.94498247
315,2025-01-27,SZ.ZB_002035,华帝股份,家电行业,-1.701108,2.3570359
316,2025-01-27,SH.ZB_600893,航发动力,航天航空,-1.7013317,1.8548653
317,2025-01-27,SH.ZB_605011,杭州热电,公用事业,-1.7016456,0.90165883
318,2025-01-27,SH.ZB_600310,广西能源,电力行业,-1.7030046,1.7124727
319,2025-01-27,SZ.ZB_002626,金达威,食品饮料,-1.7039067,1.0049343
320,2025-01-27,SH.ZB_603375,盛景微,电子元件,-1.7039567,3.6512747
321,2025-01-27,SZ.ZB_002329,皇氏集团,食品饮料,-1.7059624,5.5833178
322,2025-01-27,SZ.ZB_000062,深圳华强,电子元件,-1.7062372,3.9200993
323,2025-01-27,SZ.ZB_000030,富奥股份,汽车零部件,-1.706836,-0.03450811
