,index,Datetime,code,name,bankuai,expext
3353,3706,2025-01-27,300004,南风股份,专用设备,-3.1746328
3354,37,2025-01-27,601577,长沙银行,银行,-3.1746664
3355,2050,2025-01-27,300825,阿尔特,汽车服务,-3.1748276
3356,4505,2025-01-27,605588,冠石科技,半导体,-3.1750631
3357,3015,2025-01-27,301162,国能日新,软件开发,-3.175123
3358,3007,2025-01-27,300074,华平股份,软件开发,-3.1752467
3359,3374,2025-01-27,300531,优博讯,计算机设备,-3.1755726
3360,4168,2025-01-27,300274,阳光电源,光伏设备,-3.17675
3361,3741,2025-01-27,300400,劲拓股份,专用设备,-3.1772237
3362,3267,2025-01-27,688663,新风光,电网设备,-3.1776927
3363,2962,2025-01-27,688171,纬德信息,软件开发,-3.17817
3364,4113,2025-01-27,688077,大地熊,小金属,-3.178537
3365,147,2025-01-27,600282,南钢股份,钢铁行业,-3.178684
3366,857,2025-01-27,688117,圣诺生物,化学制药,-3.1791873
3367,2094,2025-01-27,2735,王子新材,包装材料,-3.1803102
3368,858,2025-01-27,603351,威尔药业,化学制药,-3.1808774
3369,2115,2025-01-27,300467,迅游科技,游戏,-3.1810722
3370,2797,2025-01-27,688187,时代电气,交运设备,-3.1810887
3371,4031,2025-01-27,688610,埃科光电,仪器仪表,-3.181316
3372,3152,2025-01-27,300622,博士眼镜,商业百货,-3.181469
3373,2734,2025-01-27,600839,四川长虹,家电行业,-3.181578
3374,1004,2025-01-27,300979,华利集团,纺织服装,-3.1820252
3375,4245,2025-01-27,601177,杭齿前进,通用设备,-3.1827178
3376,1171,2025-01-27,301127,天源环保,环保行业,-3.1827688
3377,4260,2025-01-27,1379,腾达科技,通用设备,-3.1829343
3378,4181,2025-01-27,600481,双良节能,光伏设备,-3.1837351
3379,4512,2025-01-27,688478,晶升股份,半导体,-3.184079
3380,1548,2025-01-27,301098,金埔园林,工程建设,-3.1845603
3381,2055,2025-01-27,600386,北巴传媒,汽车服务,-3.184722
3382,2341,2025-01-27,605339,南侨食品,食品饮料,-3.1849167
3383,2981,2025-01-27,688232,新点软件,软件开发,-3.1852484
3384,1710,2025-01-27,600810,神马股份,化纤行业,-3.1852775
3385,1520,2025-01-27,600939,重庆建工,工程建设,-3.1854482
3386,608,2025-01-27,603058,永吉股份,造纸印刷,-3.18642
3387,4927,2025-01-27,600498,烽火通信,通信设备,-3.1864486
3388,1318,2025-01-27,603630,拉芳家化,美容护理,-3.1875904
3389,3558,2025-01-27,688612,威迈斯,汽车零部件,-3.1879728
3390,4157,2025-01-27,300842,帝科股份,光伏设备,-3.1879935
3391,4276,2025-01-27,301525,儒竞科技,通用设备,-3.188853
3392,356,2025-01-27,1216,华瓷股份,装修建材,-3.1894975
3393,3552,2025-01-27,2283,天润工业,汽车零部件,-3.1896179
3394,2309,2025-01-27,2852,道道全,食品饮料,-3.1896195
3395,333,2025-01-27,786,北新建材,装修建材,-3.1900027
3396,3077,2025-01-27,300377,赢时胜,软件开发,-3.1901133
3397,848,2025-01-27,300633,开立医疗,医疗器械,-3.1902273
3398,2915,2025-01-27,600390,五矿资本,多元金融,-3.19046
3399,1953,2025-01-27,688157,松井股份,化学制品,-3.1906247
3400,2046,2025-01-27,2182,宝武镁业,有色金属,-3.19183
3401,715,2025-01-27,603213,镇洋发展,化学原料,-3.1924133
3402,2687,2025-01-27,688169,石头科技,家电行业,-3.1924646
3403,2958,2025-01-27,2990,盛视科技,软件开发,-3.192472
3404,3582,2025-01-27,2664,信质集团,汽车零部件,-3.1928816
3405,1798,2025-01-27,603259,药明康德,医疗服务,-3.193152
3406,3671,2025-01-27,301056,森赫股份,专用设备,-3.193529
3407,1097,2025-01-27,301081,严牌股份,环保行业,-3.1935408
3408,2647,2025-01-27,859,国风新材,塑料制品,-3.1941447
3409,1497,2025-01-27,7,全新好,房地产服务,-3.1946976
3410,1300,2025-01-27,300668,杰恩设计,工程咨询服务,-3.1954718
3411,1024,2025-01-27,605189,富春染织,纺织服装,-3.1957436
3412,2409,2025-01-27,558,莱茵体育,旅游酒店,-3.1957653
3413,2569,2025-01-27,601127,赛力斯,汽车整车,-3.197605
3414,2160,2025-01-27,600797,浙大网新,互联网服务,-3.1978364
3415,969,2025-01-27,915,华特达因,化学制药,-3.1988125
3416,3399,2025-01-27,600626,申达股份,汽车零部件,-3.198866
3417,4184,2025-01-27,688598,金博股份,光伏设备,-3.198944
3418,2556,2025-01-27,600543,莫高股份,酿酒行业,-3.1991746
3419,1048,2025-01-27,2042,华孚时尚,纺织服装,-3.200116
3420,3353,2025-01-27,603660,苏州科达,计算机设备,-3.200582
3421,2092,2025-01-27,2787,华源控股,包装材料,-3.2006788
3422,1984,2025-01-27,2532,天山铝业,有色金属,-3.2011044
3423,4324,2025-01-27,969,安泰科技,通用设备,-3.2011554
