,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
44,塑料制品,301323,新莱福,41.52,-1.14,-0.48,12258,51110751.07,4.45,42.77,40.9,42.08,42.0,1.83,30.58,2.13
45,塑料制品,301131,聚赛龙,34.61,-1.23,-0.43,7983,27799346.0,2.57,35.28,34.38,35.1,35.04,3.46,47.2,2.03
46,塑料制品,300586,美联新材,8.03,-1.23,-0.1,71713,58389162.84,3.2,8.29,8.03,8.18,8.13,1.34,117.28,2.98
47,塑料制品,920118,太湖远大,24.09,-1.35,-0.33,1317,3222202.26,2.62,24.73,24.09,24.57,24.42,0.95,19.84,2.16
48,塑料制品,603266,天龙股份,15.9,-1.43,-0.23,23223,37452182.0,2.73,16.32,15.88,16.16,16.13,1.17,28.72,2.15
49,塑料制品,920066,科拜尔,34.52,-1.51,-0.53,1505,5265209.92,3.08,35.6,34.52,35.25,35.05,1.25,37.26,4.55
50,塑料制品,301161,唯万密封,19.88,-1.54,-0.31,40036,80040335.8,3.96,20.42,19.62,20.39,20.19,7.51,35.52,2.45
51,塑料制品,831834,三维股份,7.68,-1.54,-0.12,4323,3348800.34,2.95,7.88,7.65,7.85,7.8,0.69,25.15,3.27
52,塑料制品,300596,利安隆,28.13,-1.54,-0.44,47688,136434171.0,3.68,29.18,28.13,28.66,28.57,2.12,15.43,1.48
53,塑料制品,300922,天秦装备,13.83,-1.57,-0.22,24389,34148713.8,2.7,14.2,13.82,14.13,14.05,2.12,59.68,2.46
54,塑料制品,300218,安利股份,16.18,-1.64,-0.27,50595,82828570.26,3.65,16.73,16.13,16.55,16.45,2.34,17.52,2.53
55,塑料制品,832089,禾昌聚合,11.8,-1.67,-0.2,11684,14032831.28,4.17,12.28,11.78,12.15,12.0,1.25,14.64,1.63
56,塑料制品,002825,纳尔股份,8.17,-1.68,-0.14,115033,94865486.18,4.81,8.51,8.11,8.49,8.31,4.42,19.49,1.86
57,塑料制品,301000,肇民科技,37.28,-1.69,-0.64,246881,908132939.43,6.33,37.93,35.53,36.21,37.92,10.8,64.48,8.0
58,塑料制品,603991,至正股份,55.27,-1.72,-0.97,17812,99048453.0,4.11,56.99,54.68,56.97,56.24,2.39,-204.96,17.07
59,塑料制品,300905,宝丽迪,25.1,-1.84,-0.47,23911,60863229.0,3.48,25.98,25.09,25.87,25.57,1.88,41.39,2.44
60,塑料制品,837174,宏裕包材,11.68,-1.85,-0.22,5508,6548789.13,6.81,12.49,11.68,11.95,11.9,2.36,-165.69,2.01
61,塑料制品,002632,道明光学,8.14,-1.93,-0.16,98774,81131629.92,3.13,8.4,8.14,8.28,8.3,1.7,26.48,2.42
62,塑料制品,300806,斯迪克,15.43,-2.09,-0.33,111743,174964725.1,4.06,16.07,15.43,15.81,15.76,3.5,97.56,3.15
63,塑料制品,688323,瑞华泰,11.98,-2.12,-0.26,11565,14078418.0,4.41,12.49,11.95,12.18,12.24,0.64,-33.23,2.61
64,塑料制品,301198,喜悦智行,10.33,-2.36,-0.25,35379,37251376.52,4.82,10.8,10.29,10.63,10.58,2.18,213.83,1.86
65,塑料制品,002324,普利特,9.22,-2.43,-0.23,95519,89097782.23,4.02,9.57,9.19,9.46,9.45,1.23,36.83,2.33
66,塑料制品,301565,中仑新材,19.93,-2.45,-0.5,28530,57698389.26,4.11,20.69,19.85,20.57,20.43,4.75,51.88,3.39
67,塑料制品,000859,国风新材,4.9,-2.58,-0.13,186662,92886730.0,4.37,5.1,4.88,5.05,5.03,2.08,-43.05,1.58
68,塑料制品,000973,佛塑科技,5.58,-2.62,-0.15,212302,120592553.31,4.01,5.81,5.58,5.77,5.73,2.19,48.64,1.9
69,塑料制品,300538,同益股份,14.04,-2.64,-0.38,31743,45363363.0,3.88,14.6,14.04,14.54,14.42,2.76,306.25,2.43
70,塑料制品,301538,骏鼎达,70.89,-2.69,-1.96,4917,35349207.44,3.18,73.18,70.86,73.0,72.85,3.51,25.78,3.29
71,塑料制品,601208,东材科技,7.9,-3.07,-0.25,261367,209041637.0,3.68,8.2,7.9,8.11,8.15,2.91,22.5,1.62
72,塑料制品,688219,会通股份,10.74,-3.07,-0.34,68364,74284448.0,3.79,11.16,10.74,11.07,11.08,1.48,24.48,2.55
73,塑料制品,300644,南京聚隆,21.92,-3.09,-0.7,27332,61018298.48,4.07,22.84,21.92,22.61,22.62,3.12,32.17,2.58
74,塑料制品,832469,富恒新材,11.91,-3.25,-0.4,35900,43556590.02,5.44,12.55,11.88,12.3,12.31,3.67,26.74,3.43
75,塑料制品,300784,利安科技,54.09,-3.36,-1.88,7842,43094546.0,4.56,56.55,54.0,56.16,55.97,5.58,50.46,3.99
76,塑料制品,002361,神剑股份,4.86,-3.57,-0.18,527465,261059119.0,5.75,5.15,4.86,5.08,5.04,6.58,118.69,2.08
77,塑料制品,870204,沪江材料,17.0,-3.57,-0.63,10142,17636174.02,4.99,17.88,17.0,17.75,17.63,2.03,54.3,3.38
78,塑料制品,002886,沃特股份,17.13,-3.6,-0.64,120023,208483675.46,3.71,17.77,17.11,17.77,17.77,5.77,134.89,2.55
79,塑料制品,300539,横河精密,11.76,-3.92,-0.48,75810,90139886.24,4.41,12.25,11.71,12.16,12.24,4.42,80.84,4.77
80,塑料制品,603051,鹿山新材,23.92,-4.93,-1.24,39067,96157844.0,6.32,25.44,23.85,24.99,25.16,6.38,60.44,1.63
81,塑料制品,836871,派特尔,12.2,-5.13,-0.66,8890,11248335.95,5.68,12.93,12.2,12.65,12.86,2.21,28.06,3.54
82,塑料制品,300180,华峰超纤,6.0,-6.1,-0.39,613497,376525402.06,5.48,6.35,6.0,6.3,6.39,4.13,64.01,2.26
83,塑料制品,301591,肯特股份,37.82,-6.46,-2.61,31321,121051691.1,6.41,40.4,37.81,40.0,40.43,14.89,40.3,3.69
84,塑料制品,603928,兴业股份,13.07,-9.99,-1.45,482525,713006599.0,19.97,15.97,13.07,15.97,14.52,18.41,70.22,2.28
85,塑料制品,688716,中研股份,39.02,-10.07,-4.37,118365,479308985.0,12.49,44.3,38.88,43.4,43.39,17.51,119.29,4.0
86,塑料制品,001356,C富岭,14.78,-15.69,-2.75,560835,886695015.05,14.38,17.22,14.7,16.9,17.53,46.17,39.82,4.48
