,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,燃气,300435,中泰股份,11.87,5.14,0.58,112175,132596752.0,7.0,12.08,11.29,11.29,11.29,3.04,18.12,1.4
1,燃气,002259,ST升达,2.56,4.92,0.12,161207,40806028.41,5.74,2.56,2.42,2.44,2.44,2.14,-71.11,8.56
2,燃气,002700,ST浩源,10.55,4.04,0.41,28709,30056208.0,5.72,10.65,10.07,10.1,10.14,0.86,39.86,5.27
3,燃气,603080,新疆火炬,16.11,3.27,0.51,68555,112840661.0,5.38,16.95,16.11,16.3,15.6,4.84,13.07,1.52
4,燃气,002911,佛燃能源,11.64,2.11,0.24,42460,49303248.45,3.25,11.72,11.35,11.4,11.4,0.34,17.81,1.79
5,燃气,605169,洪通燃气,10.1,1.92,0.19,23017,23282904.0,3.13,10.22,9.91,9.91,9.91,0.81,12.99,1.49
6,燃气,605090,九丰能源,27.33,1.79,0.48,55917,152772153.0,2.61,27.55,26.85,26.96,26.85,0.88,8.61,1.95
7,燃气,605368,蓝天燃气,11.07,1.75,0.19,65238,72295708.0,2.76,11.18,10.88,10.92,10.88,0.97,13.14,2.25
8,燃气,002267,陕天然气,7.97,1.66,0.13,72519,57759493.91,2.42,8.02,7.83,7.84,7.84,0.65,12.7,1.32
9,燃气,603053,成都燃气,9.45,1.61,0.15,22147,20946030.0,2.15,9.5,9.3,9.33,9.3,0.25,17.32,1.8
10,燃气,001299,美能能源,12.55,1.54,0.19,18385,23124150.0,2.1,12.65,12.39,12.39,12.36,3.59,32.34,1.86
11,燃气,603706,东方环宇,17.87,1.53,0.27,10940,19662210.0,2.84,18.16,17.66,17.66,17.6,0.58,20.86,2.11
12,燃气,000669,ST金鸿,2.12,1.44,0.03,58055,12333165.8,2.87,2.16,2.1,2.1,2.09,0.85,-11.37,9.24
13,燃气,603689,皖天然气,8.71,1.4,0.12,32648,28454113.0,2.1,8.77,8.59,8.59,8.59,0.68,11.32,1.33
14,燃气,600956,新天绿能,7.27,1.39,0.1,56446,41134201.0,2.37,7.33,7.16,7.16,7.17,0.24,15.33,1.42
15,燃气,000407,胜利股份,3.28,1.23,0.04,120899,39868624.2,2.47,3.33,3.25,3.25,3.24,1.38,19.73,0.98
16,燃气,600917,重庆燃气,5.78,1.23,0.07,36234,20972264.0,2.1,5.83,5.71,5.71,5.71,0.23,25.75,1.65
17,燃气,601139,深圳燃气,6.64,1.07,0.07,120843,80350614.0,1.83,6.69,6.57,6.58,6.57,0.42,13.11,1.23
18,燃气,603393,新天然气,30.15,0.94,0.28,36086,109039910.0,1.67,30.38,29.88,29.89,29.87,0.85,10.87,1.63
19,燃气,600681,百川能源,3.33,0.91,0.03,89296,29772739.0,1.52,3.35,3.3,3.3,3.3,0.67,19.44,1.27
20,燃气,600803,新奥股份,20.44,0.84,0.17,113000,231960673.0,3.31,20.74,20.07,20.3,20.27,0.4,13.6,2.79
21,燃气,000968,蓝焰控股,6.23,0.81,0.05,93500,58660175.77,2.59,6.33,6.17,6.18,6.18,0.97,14.98,1.04
22,燃气,000593,德龙汇能,5.43,0.74,0.04,51698,28337752.0,2.6,5.54,5.4,5.4,5.39,1.44,34.5,2.24
23,燃气,900913,国新B股,0.221,0.45,0.001,3040,67287.0,0.91,0.222,0.22,0.22,0.22,0.2,-224.62,0.85
24,燃气,600617,国新能源,2.4,0.42,0.01,158717,38518778.0,3.35,2.47,2.39,2.39,2.39,0.89,-348.11,1.32
25,燃气,300332,天壕能源,4.84,0.21,0.01,89032,43592996.72,2.48,4.95,4.83,4.87,4.83,1.07,23.86,1.01
26,燃气,603318,水发燃气,6.55,0.0,0.0,64791,42802738.0,1.83,6.66,6.54,6.55,6.55,1.69,35.29,2.06
27,燃气,600903,贵州燃气,6.56,-0.91,-0.06,79698,52924698.0,2.27,6.7,6.55,6.65,6.62,0.69,45.81,2.47
28,燃气,600635,大众公用,3.72,-1.59,-0.06,330127,124874683.0,3.7,3.86,3.72,3.81,3.78,1.36,48.36,1.31
29,燃气,300483,首华燃气,8.1,-2.17,-0.18,52094,43137553.95,3.62,8.4,8.1,8.21,8.28,2.01,-20.81,0.88
30,燃气,600333,长春燃气,4.58,-2.35,-0.11,145295,67931861.0,3.62,4.75,4.58,4.71,4.69,2.39,-25.52,1.48
31,燃气,000421,南京公用,6.12,-2.86,-0.18,178451,111228488.32,4.13,6.38,6.12,6.33,6.3,3.11,-183.42,1.33
32,燃气,831010,凯添燃气,7.68,-3.03,-0.24,42560,33580197.91,4.92,8.07,7.68,7.95,7.92,2.45,35.29,2.71
