,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,物流行业,601006,大秦铁路,6.65,3.42,0.22,1814538,1200721033.0,3.89,6.7,6.45,6.45,6.43,0.92,11.42,0.8
1,物流行业,001228,永泰运,21.46,2.98,0.62,14227,30067859.96,3.02,21.46,20.83,20.83,20.84,2.59,18.47,1.31
2,物流行业,603056,德邦股份,14.53,2.47,0.35,54916,79384329.0,3.1,14.59,14.15,14.18,14.18,0.53,21.64,1.85
3,物流行业,601333,广深铁路,3.34,2.14,0.07,550311,183973701.0,3.67,3.38,3.26,3.27,3.27,0.97,14.67,0.87
4,物流行业,603871,嘉友国际,17.86,2.06,0.36,78235,140325129.0,3.83,18.13,17.46,17.5,17.5,0.8,12.02,3.11
5,物流行业,002352,顺丰控股,39.31,2.02,0.78,244974,965159752.71,2.75,39.65,38.59,38.65,38.53,0.51,19.3,2.34
6,物流行业,600119,长江投资,8.41,1.69,0.14,72610,60954191.0,4.59,8.58,8.2,8.28,8.27,1.99,-82.35,17.23
7,物流行业,002492,恒基达鑫,4.9,1.45,0.07,62270,30643964.0,2.69,4.97,4.84,4.84,4.83,1.57,26.72,1.18
8,物流行业,001331,胜通能源,10.7,1.33,0.14,17098,18396863.96,2.94,10.87,10.56,10.56,10.56,3.39,66.9,1.43
9,物流行业,603713,密尔克卫,52.26,1.32,0.68,9903,51619751.0,2.58,52.7,51.37,51.55,51.58,0.62,12.85,1.94
10,物流行业,600575,淮河能源,3.33,1.22,0.04,508229,169947468.0,2.43,3.37,3.29,3.31,3.29,1.31,11.52,1.12
11,物流行业,603565,中谷物流,9.31,1.2,0.11,52430,48894931.0,2.72,9.44,9.19,9.2,9.2,0.25,13.23,1.9
12,物流行业,600794,保税科技,3.48,1.16,0.04,81671,28583329.0,2.03,3.53,3.46,3.46,3.44,0.67,17.23,1.64
13,物流行业,600233,圆通速递,13.77,1.1,0.15,116942,160998105.0,1.69,13.86,13.63,13.65,13.62,0.34,12.15,1.55
14,物流行业,600125,铁龙物流,5.83,1.04,0.06,165634,96673626.0,1.91,5.86,5.75,5.75,5.77,1.27,14.45,1.04
15,物流行业,000557,西部创业,5.09,0.99,0.05,114759,58813962.0,2.78,5.19,5.05,5.05,5.04,0.79,24.84,1.22
16,物流行业,603967,中创物流,9.99,0.91,0.09,27078,26990368.0,1.21,10.02,9.9,9.91,9.9,0.78,12.96,1.51
17,物流行业,600057,厦门象屿,6.18,0.82,0.05,111100,69045544.0,2.28,6.27,6.13,6.13,6.13,0.51,11.63,1.06
18,物流行业,002120,韵达股份,7.53,0.8,0.06,173887,131304074.0,1.74,7.6,7.47,7.48,7.47,0.62,11.63,1.1
19,物流行业,001213,中铁特货,4.02,0.75,0.03,127423,51336970.38,1.5,4.05,3.99,3.99,3.99,0.29,23.39,0.94
20,物流行业,600180,瑞茂通,4.04,0.75,0.03,75395,30875652.0,3.24,4.16,4.03,4.05,4.01,0.69,26.28,0.56
21,物流行业,002930,宏川智慧,10.0,0.7,0.07,24281,24460900.14,2.52,10.19,9.94,9.94,9.93,0.56,20.04,1.85
22,物流行业,000906,浙商中拓,5.99,0.67,0.04,113320,68784170.87,3.53,6.17,5.96,5.96,5.95,1.61,8.79,0.9
23,物流行业,001317,三羊马,27.93,0.65,0.18,10837,30487767.0,2.2,28.41,27.8,28.36,27.75,2.58,144.41,2.76
24,物流行业,605050,福然德,9.94,0.51,0.05,25818,25900153.0,3.24,10.17,9.85,9.93,9.89,0.52,18.17,1.17
25,物流行业,002800,天顺股份,10.07,0.5,0.05,42443,43497721.8,3.79,10.43,10.05,10.24,10.02,3.0,63.55,2.9
26,物流行业,002468,申通快递,10.7,0.47,0.05,165037,177630867.64,1.97,10.89,10.68,10.69,10.65,1.11,18.83,1.74
27,物流行业,600704,物产中大,4.76,0.42,0.02,355431,170184849.0,1.48,4.82,4.75,4.76,4.74,0.69,7.95,0.68
28,物流行业,000927,中国铁物,2.53,0.4,0.01,443759,113134545.65,3.17,2.6,2.52,2.53,2.52,0.73,26.26,1.65
29,物流行业,601598,中国外运,5.29,0.38,0.02,233247,123651897.0,1.14,5.32,5.26,5.27,5.27,0.44,10.24,1.0
30,物流行业,603329,上海雅仕,12.95,0.31,0.04,19130,24954254.0,1.86,13.15,12.91,13.05,12.91,1.2,47.55,1.85
31,物流行业,603535,嘉诚国际,12.16,-0.08,-0.01,29617,36275428.0,1.97,12.39,12.15,12.17,12.17,0.92,18.96,1.7
32,物流行业,603569,长久物流,7.04,-0.14,-0.01,49287,35118345.0,2.41,7.2,7.03,7.13,7.05,0.82,52.09,1.49
33,物流行业,900914,锦在线B,0.627,-0.16,-0.001,880,54994.0,1.91,0.632,0.62,0.627,0.628,0.05,11.1,0.6
34,物流行业,603128,华贸物流,6.12,-0.16,-0.01,156271,96129789.0,1.31,6.19,6.11,6.13,6.13,1.19,12.72,1.32
35,物流行业,603117,万林物流,5.45,-0.55,-0.03,103535,57093407.0,3.83,5.61,5.4,5.55,5.48,1.73,118.01,3.19
36,物流行业,300240,飞力达,6.23,-0.64,-0.04,64460,40792552.5,3.51,6.44,6.22,6.3,6.27,1.77,77.99,1.61
37,物流行业,002010,传化智联,4.3,-0.69,-0.03,154411,67144146.2,2.31,4.4,4.3,4.34,4.33,0.56,37.88,0.69
38,物流行业,001202,炬申股份,13.79,-0.72,-0.1,24439,34077381.0,2.59,14.14,13.78,13.91,13.89,2.7,19.69,2.41
39,物流行业,002682,龙洲股份,4.05,-0.74,-0.03,150351,61584686.0,3.68,4.18,4.03,4.13,4.08,2.67,-23.66,1.59
40,物流行业,300013,*ST新宁,3.31,-0.9,-0.03,57792,19306063.5,3.59,3.42,3.3,3.33,3.34,1.3,-43.58,7.64
41,物流行业,603648,畅联股份,9.39,-0.95,-0.09,42418,40315961.0,2.53,9.62,9.38,9.49,9.48,1.17,22.7,1.86
42,物流行业,300873,海晨股份,16.51,-0.96,-0.16,23584,39325835.0,2.4,16.88,16.48,16.67,16.67,1.39,13.09,1.29
43,物流行业,603836,海程邦达,12.47,-1.03,-0.13,14761,18493712.0,2.22,12.65,12.37,12.6,12.6,0.72,23.39,1.42
44,物流行业,603223,恒通股份,9.35,-1.06,-0.1,23839,22414257.0,2.22,9.54,9.33,9.45,9.45,0.43,50.77,1.79
45,物流行业,688211,中科微至,28.18,-1.19,-0.34,2265,6429281.0,2.56,28.86,28.13,28.5,28.52,0.35,-233.91,1.03
46,物流行业,600179,安通控股,2.65,-1.49,-0.04,241037,64761946.0,3.72,2.75,2.65,2.69,2.69,0.65,52.16,1.09
47,物流行业,300350,华鹏飞,5.09,-1.74,-0.09,118039,61455288.2,4.25,5.31,5.09,5.26,5.18,2.5,95.3,3.1
48,物流行业,600787,中储股份,5.91,-1.99,-0.12,238662,143175727.0,3.48,6.12,5.91,6.03,6.03,1.1,25.06,0.94
49,物流行业,002889,东方嘉盛,19.48,-2.16,-0.43,40933,80836253.04,3.37,20.1,19.43,20.01,19.91,2.34,21.96,2.21
50,物流行业,872351,华光源海,10.85,-2.16,-0.24,7597,8371073.6,3.97,11.29,10.85,11.15,11.09,2.15,114.19,2.17
51,物流行业,001391,国货航,7.06,-2.49,-0.18,870829,622982534.74,3.31,7.3,7.06,7.24,7.24,10.38,57.58,3.57
52,物流行业,600603,ST广物,9.43,-3.08,-0.3,51775,49205930.0,4.11,9.75,9.35,9.72,9.73,0.43,20.0,1.63
53,物流行业,601156,东航物流,16.39,-4.04,-0.69,248840,415090802.0,4.57,17.16,16.38,16.89,17.08,2.63,9.44,1.49
54,物流行业,002769,普路通,6.45,-4.73,-0.32,87233,57547083.53,5.91,6.83,6.43,6.77,6.77,2.62,-40.58,2.03
55,物流行业,603066,音飞储存,10.25,-5.09,-0.55,73403,75854371.0,2.59,10.5,10.22,10.42,10.8,2.5,21.31,2.09
56,物流行业,603813,原尚股份,9.77,-9.95,-1.08,9249,9036273.0,0.0,9.77,9.77,9.77,10.85,1.03,-25.24,1.68
