,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,电池,300568,星源材质,9.8,1.55,0.15,389195,385383094.52,3.83,10.03,9.66,9.68,9.65,3.21,28.25,1.34
1,电池,833523,德瑞锂电,23.39,1.21,0.28,14342,33473859.01,3.46,23.8,23.0,23.54,23.11,1.79,16.74,4.3
2,电池,688567,孚能科技,11.36,1.07,0.12,131090,150447556.0,4.36,11.78,11.29,11.44,11.24,1.07,-34.27,1.38
3,电池,301358,湖南裕能,44.6,0.59,0.26,53217,237461553.72,3.02,45.38,44.04,44.22,44.34,1.39,51.63,2.94
4,电池,603659,璞泰来,14.73,-0.14,-0.02,134317,198190817.0,2.37,14.99,14.64,14.8,14.75,0.63,19.06,1.71
5,电池,001283,豪鹏科技,57.88,-0.29,-0.17,8112,47706808.0,4.15,60.18,57.77,58.6,58.05,1.4,45.91,2.09
6,电池,600241,时代万恒,6.8,-0.29,-0.02,29579,20339549.0,2.79,6.97,6.78,6.85,6.82,1.01,79.82,1.72
7,电池,300014,亿纬锂能,42.51,-0.33,-0.14,170644,729964454.1,1.71,43.2,42.47,42.64,42.65,0.92,20.45,2.37
8,电池,301210,金杨股份,41.15,-0.34,-0.14,39690,167391908.49,10.17,44.86,40.66,41.22,41.29,12.69,69.53,1.87
9,电池,601311,骆驼股份,8.21,-0.36,-0.03,75201,62003964.0,1.33,8.3,8.19,8.22,8.24,0.64,14.82,1.02
10,电池,688275,万润新能,49.7,-0.4,-0.2,12388,62677117.0,3.69,51.39,49.55,49.55,49.9,1.46,-7.86,1.06
11,电池,300530,领湃科技,15.47,-0.51,-0.08,17783,28001461.78,4.89,16.15,15.39,15.64,15.55,1.12,-13.98,38.75
12,电池,688155,先惠技术,39.54,-0.58,-0.23,23260,92313752.0,2.21,40.09,39.21,40.09,39.77,1.86,19.72,2.57
13,电池,300953,震裕科技,119.99,-0.83,-1.01,69822,834915081.78,6.99,124.82,116.36,121.98,121.0,8.48,61.13,4.29
14,电池,688573,信宇人,16.19,-0.86,-0.14,17221,28206840.0,3.74,16.72,16.11,16.25,16.33,3.43,-17.0,1.91
15,电池,002759,天际股份,7.68,-0.9,-0.07,88420,69157998.5,4.52,8.0,7.65,7.76,7.75,1.76,-15.32,0.88
16,电池,300619,金银河,21.86,-0.91,-0.2,14287,31602219.85,4.22,22.7,21.77,22.29,22.06,1.3,-223.52,1.79
17,电池,830809,安达科技,4.98,-0.99,-0.05,27912,14052232.4,2.39,5.1,4.98,5.02,5.03,0.87,-4.32,1.54
18,电池,688819,天能股份,26.5,-1.01,-0.27,20217,54005688.0,1.79,26.98,26.5,26.9,26.77,0.21,13.2,1.62
19,电池,301587,中瑞股份,22.5,-1.01,-0.23,11603,26408688.72,3.3,23.08,22.33,22.9,22.73,3.8,45.97,1.65
20,电池,688499,利元亨,20.35,-1.02,-0.21,47923,99376058.0,6.42,21.58,20.26,20.97,20.56,2.84,-4.95,1.29
21,电池,600152,维科技术,5.51,-1.08,-0.06,62426,34868446.0,2.69,5.66,5.51,5.55,5.57,1.18,4146.05,1.62
22,电池,603031,安孚科技,27.0,-1.1,-0.3,18877,51254929.0,4.07,27.77,26.66,27.32,27.3,0.89,28.51,3.14
23,电池,002074,国轩高科,20.69,-1.1,-0.23,80798,168517422.15,2.1,21.13,20.69,20.94,20.92,0.47,67.81,1.48
24,电池,301222,浙江恒威,25.18,-1.1,-0.28,7352,18741484.75,2.55,25.79,25.14,25.48,25.46,2.51,21.94,1.86
25,电池,000049,德赛电池,22.6,-1.14,-0.26,29070,66081386.71,2.01,23.04,22.58,22.86,22.86,0.76,29.48,1.36
26,电池,300340,科恒股份,9.43,-1.15,-0.11,31228,29827797.0,3.46,9.74,9.41,9.63,9.54,1.74,-17.37,17.35
27,电池,688772,珠海冠宇,15.4,-1.16,-0.18,72785,112577341.0,1.48,15.6,15.37,15.55,15.58,0.65,48.59,2.63
28,电池,688006,杭可科技,17.67,-1.17,-0.21,36059,64599933.0,3.41,18.19,17.58,17.8,17.88,0.6,21.29,2.02
29,电池,301238,瑞泰新材,14.83,-1.33,-0.2,28851,43100161.25,2.66,15.2,14.8,15.09,15.03,1.35,54.56,1.51
30,电池,603032,德新科技,13.0,-1.37,-0.18,23811,31417171.0,3.34,13.44,13.0,13.19,13.18,1.03,140.01,2.4
