,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,工程机械,000680,山推股份,10.03,3.51,0.34,333079,332571078.26,4.85,10.15,9.68,9.7,9.69,2.55,16.74,2.51
1,工程机械,600375,*ST汉马,6.04,3.25,0.19,66605,40385442.0,5.3,6.14,5.83,5.86,5.85,0.61,-19.51,4.24
2,工程机械,001226,拓山重工,30.16,1.28,0.38,16703,49975737.52,2.52,30.39,29.64,29.73,29.78,8.95,110.13,3.06
3,工程机械,000157,中联重科,7.32,1.24,0.09,531747,390754785.18,1.94,7.42,7.28,7.34,7.23,0.75,15.18,1.11
4,工程机械,300022,吉峰科技,4.94,1.23,0.06,113534,56079028.0,3.69,5.05,4.87,4.99,4.88,2.3,-76.05,4.48
5,工程机械,603338,浙江鼎力,67.56,1.23,0.82,40859,274582614.0,2.88,68.09,66.17,67.42,66.74,0.81,17.57,3.47
6,工程机械,000528,柳    工,11.66,1.04,0.12,149609,174285981.56,2.08,11.75,11.51,11.53,11.54,1.01,13.37,1.33
7,工程机械,600817,宇通重工,11.59,0.87,0.1,34676,40317859.0,1.48,11.71,11.54,11.54,11.49,0.66,35.69,2.67
8,工程机械,200055,方大Ｂ,1.75,0.57,0.01,3299,581331.79,2.3,1.78,1.74,1.75,1.74,0.08,8.49,0.28
9,工程机械,000425,徐工机械,7.64,0.53,0.04,572666,437462443.06,1.84,7.7,7.56,7.63,7.6,0.71,12.75,1.53
10,工程机械,871245,威博液压,37.61,0.45,0.17,2433,9090125.33,2.86,37.79,36.72,37.0,37.44,1.0,70.57,5.31
11,工程机械,600815,厦工股份,2.52,0.4,0.01,139906,35577049.0,3.98,2.6,2.5,2.51,2.51,0.79,446.4,2.94
12,工程机械,834599,同力股份,13.21,0.15,0.02,16972,22544529.68,1.74,13.38,13.15,13.36,13.19,0.5,9.86,2.2
13,工程机械,001288,运机集团,30.27,0.1,0.03,10844,32727734.0,3.14,30.68,29.73,30.07,30.24,1.4,44.98,2.53
14,工程机械,600761,安徽合力,17.75,0.0,0.0,85044,151578384.0,2.03,18.02,17.66,17.78,17.75,0.95,10.77,1.55
15,工程机械,688425,铁建重工,4.08,-0.49,-0.02,223135,91900558.0,1.95,4.16,4.08,4.1,4.1,1.51,15.85,1.27
16,工程机械,603298,杭叉集团,19.24,-0.52,-0.1,88791,171507554.0,1.81,19.5,19.15,19.34,19.34,0.68,12.02,2.6
17,工程机械,600031,三一重工,16.1,-0.62,-0.1,302235,488912395.0,1.48,16.34,16.1,16.29,16.2,0.36,21.02,1.92
18,工程机械,603638,艾迪精密,17.17,-0.87,-0.15,25142,43366875.0,1.91,17.43,17.1,17.35,17.32,0.3,38.14,4.49
19,工程机械,603611,诺力股份,17.85,-0.89,-0.16,43829,78864449.0,2.17,18.18,17.79,18.05,18.01,1.7,9.5,1.61
20,工程机械,835174,五新隧装,26.02,-0.91,-0.24,12888,33877930.6,2.97,26.78,26.0,26.64,26.26,1.49,18.7,3.11
21,工程机械,002204,大连重工,4.96,-1.2,-0.06,190030,95083410.0,2.39,5.08,4.96,5.03,5.02,0.98,18.19,1.32
22,工程机械,605389,长龄液压,25.06,-1.8,-0.46,23149,58781989.0,3.68,25.95,25.01,25.46,25.52,1.7,29.55,1.72
23,工程机械,002097,山河智能,6.97,-1.97,-0.14,143335,101415084.02,2.81,7.17,6.97,7.08,7.11,1.34,161.34,1.64
24,工程机械,601100,恒立液压,62.09,-2.1,-1.33,89276,561259758.0,2.19,63.48,62.09,62.52,63.42,0.67,34.85,5.52
25,工程机械,603194,中力股份,33.8,-2.11,-0.73,44696,152861542.0,2.78,34.73,33.77,34.68,34.53,8.97,15.65,2.92
26,工程机械,300201,海伦哲,5.09,-2.49,-0.13,190092,97999735.68,3.64,5.28,5.09,5.23,5.22,1.89,28.95,3.61
27,工程机械,002272,川润股份,7.86,-3.56,-0.29,274849,220231820.37,5.28,8.28,7.85,8.18,8.15,7.24,-92.21,2.38
28,工程机械,873706,铁拓机械,12.64,-3.88,-0.51,13620,17648472.35,5.25,13.33,12.64,13.15,13.15,5.31,19.63,2.14
29,工程机械,600984,建设机械,3.17,-3.94,-0.13,145040,46588604.0,4.24,3.3,3.16,3.28,3.3,1.15,-4.76,0.86
30,工程机械,873223,荣亿精密,9.25,-4.15,-0.4,14431,13914897.84,8.08,9.98,9.2,9.98,9.65,1.77,-52.87,5.34
31,工程机械,601226,华电科工,6.72,-5.35,-0.38,197085,134498949.0,5.63,7.12,6.72,7.09,7.1,1.7,54.63,1.84
32,工程机械,300718,长盛轴承,54.09,-5.59,-3.2,376865,2047166340.89,12.11,57.0,50.06,55.8,57.29,19.44,71.65,10.0
