,板块,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
135,半导体,688721,龙图光罩,50.15,-4.66,-2.45,13038.0,66747546.0,5.57,53.08,50.15,52.58,52.6,5.2,70.16,5.66
136,半导体,688693,锴威特,30.35,-4.74,-1.51,17781.0,55380641.0,5.34,32.05,30.35,31.79,31.86,4.68,-44.36,2.3
137,半导体,688709,成都华微,25.89,-4.78,-1.3,48540.0,128344187.0,5.3,27.33,25.89,27.08,27.19,6.29,140.59,5.96
138,半导体,688138,清溢光电,25.91,-4.81,-1.31,55229.0,145842907.0,5.8,27.49,25.91,27.49,27.22,2.07,43.04,4.83
139,半导体,688110,东芯股份,24.7,-4.85,-1.26,138663.0,349756248.0,6.32,26.34,24.7,26.01,25.96,3.14,-62.86,3.36
140,半导体,688449,联芸科技,41.26,-4.87,-2.11,51023.0,216420137.0,5.6,43.65,41.22,43.51,43.37,7.84,194.5,11.5
141,半导体,688172,燕东微,19.03,-4.95,-0.99,51738.0,100395766.0,6.24,20.27,19.02,19.81,20.02,0.88,-140.66,1.56
142,半导体,688107,安路科技,25.77,-5.08,-1.38,38850.0,102357377.0,6.52,27.5,25.73,27.38,27.15,0.97,-49.05,8.02
143,半导体,688535,华海诚科,81.3,-5.36,-4.6,32035.0,264990359.0,5.56,85.89,81.11,85.89,85.9,6.23,140.92,6.37
144,半导体,430139,华岭股份,23.21,-5.38,-1.32,62273.0,148821497.91,8.28,25.2,23.17,25.19,24.53,2.39,-308.97,5.69
145,半导体,688525,佰维存储,59.5,-5.68,-3.58,140359.0,860138310.0,6.34,63.5,59.5,63.08,63.08,4.42,84.36,10.47
146,半导体,688515,裕太微-U,88.6,-5.74,-5.4,20072.0,181159833.0,4.73,92.89,88.44,92.0,94.0,4.08,-37.99,4.26
147,半导体,002213,大为股份,13.65,-5.99,-0.87,192819.0,268611075.8,6.06,14.53,13.65,14.52,14.52,9.36,-91.69,5.53
148,半导体,688486,龙迅股份,89.84,-6.2,-5.94,8259.0,75504558.0,5.37,94.14,89.0,93.5,95.78,1.48,73.33,6.67
149,半导体,688521,芯原股份,48.99,-6.45,-3.38,120335.0,602889019.0,7.73,52.91,48.86,52.5,52.37,2.41,-46.44,10.54
150,半导体,688256,寒武纪-U,572.0,-6.69,-40.98,118693.0,6809918284.0,7.22,595.94,551.68,582.01,612.98,2.84,-247.19,46.47
151,半导体,688141,杰华特,30.75,-6.82,-2.25,137708.0,432754318.0,7.15,33.01,30.65,32.3,33.0,5.22,-20.33,6.13
152,半导体,688512,慧智微-U,9.34,-6.88,-0.69,142223.0,135872378.0,7.68,10.11,9.34,10.05,10.03,4.41,-10.82,2.22
153,半导体,300661,圣邦股份,84.41,-7.24,-6.59,106135.0,918505919.74,6.29,90.02,84.3,90.0,91.0,2.35,104.88,9.28
154,半导体,688123,聚辰股份,68.64,-8.06,-6.02,79335.0,559796328.0,7.8,74.46,68.64,74.46,74.66,5.03,38.41,5.11
155,半导体,688279,峰岹科技,209.78,-8.39,-19.22,21395.0,454767056.0,4.86,220.0,208.88,216.9,229.0,3.83,79.06,7.73
156,半导体,688661,和林微纳,40.95,-8.51,-3.81,61735.0,258751043.0,9.63,45.11,40.8,45.11,44.76,5.29,-338.64,3.96
157,半导体,688498,源杰科技,145.61,-9.06,-14.51,30907.0,460894639.0,5.62,154.0,145.0,154.0,160.12,5.14,-16965.15,6.02
158,半导体,688048,长光华芯,43.38,-9.27,-4.43,89655.0,396072546.0,8.01,46.99,43.16,46.8,47.81,9.0,-90.48,2.53
159,半导体,688766,普冉股份,108.29,-12.05,-14.83,80130.0,899614398.0,9.9,120.3,108.11,119.89,123.12,7.59,38.16,5.3
